id;label;function;year;place_print
183;Jacob Hagen (Jr);Auteur;;
184;Jacobus de II Visscher;Auteur;;
185;Thymon van Schoonhoven & Maria Johanna Witheyn;Bruidspaar;1739;
186;Thymon van Schoonhoven;Auteur;;
187;Nikolaes Versteeg;Auteur;;
188;Adriaan van der Vliet;Auteur;;
189;Michiel van Kouwenberg;Auteur;;
190;Joachim Oudaen (1716-1787);Auteur;;
191;Pieter de Lange & Geertruyd van den Ende;Bruidspaar;1724;
192;Harmanus Meyer;Auteur;;
193;J. de Lange;Auteur;;
194;Adriaan de Kramer;Auteur;;
195;Jan Mol;Auteur, Drukker;;
196;Christoph Vilters & Anna Maria Cheevs;Bruidspaar;1721;
197;J.A. J.S. Vilters;Auteur;;
198;Willem Geraert van Meel & Constantia van Meel;Bruidspaar;1735;
199;Hubert Gregorius van Vryhoff;Auteur;;
200;Jacobus Du Pire & Elisabeth Gronen;Bruidspaar;1709;
201;François van Bochoven;Auteur;;
202;Frederik Wilhelm Westhovius;Auteur;;
203;Joannes van Braam;Auteur, Drukker;;
204;Gysbert van Kinschot & Maria Françoise Issac;Bruidspaar;1724;
205;J.C. van Kinschot;Auteur;;
206;Pieter de Bye;Auteur;;
207;Hendrik van Ouryk;Auteur;;
208;Joan onder de Linden & Mondina den Raven;Bruidspaar;1743;
209;Pieter Le Clercq;Auteur;;
210;Jacob van Stamhorst;Auteur;;
211;Evert Muller & Beletje van Eyck;Bruidspaar;1737;
212;Pieter Schagen & Geertruid Maria Mantjes;Bruidspaar;1752;
213;Marten Schagen;Auteur, Drukker;;
214;Jan Bosch;Auteur, Drukker;;
215;Joanna Schagen;Auteur;;
216;Maria van Irhoven;Auteur;;
217;Adam Meyer;Auteur;;
218;Jacob Hulk;Auteur;;
219;C.L. Smit;Auteur;;
220;Gerard Schepers & Jakoba Prins;Bruidspaar;1746;
221;Kornelis Boon van Engelant;Auteur;;
222;François Chamois;Auteur;;
223;Ralph Schomberg;Auteur;;
224;Nicolaas van Rijp & Jacoba van Emmenes;Bruidspaar;1700;
225;Willem Henrik van Cattenburch & Johanna Del Tombe;Bruidspaar;1728;
226;Arnoldus Henricus Westerhovius;Auteur;;
227;Pieter van der Schelling;Auteur;;
228;Theodoor van Snakenburg;Auteur;;
229;Egbertus Geniets & Agatha Maria Muhl;Bruidspaar;1742;
230;Engelbert François van Berckel & Geertruida Roscam;Bruidspaar;1759;
231;Willem Kroon;Auteur;;
232;Joan Stouw;Auteur;;
233;Jan Adriaan van Wachendorff;Auteur;;
234;Adriaan Kluit;Auteur;;
235;J.J.B.;Auteur;;
236;Willem Hendrik Nolthenius & Sara van der Grift;Bruidspaar;1753;
237;Jan van der Grift;Auteur;;
238;Daniel Balthsz Nolthenius;Auteur;;
239;Jeronimus Balthsz Nolthenius;Auteur;;
240;Govert van der Pot;Auteur;;
241;G.R.;Auteur;;
242;Coenraad Smitt;Auteur;;
243;Gulielmus Titsingh;Auteur;;
244;Fredrik de Bruyn;Auteur;;
245;Hendrik ten Hove;Auteur;;
246;Roelof Wouters;Auteur;;
247;Bernardus van der Velde;Auteur;;
248;George Boudens & Johanna Boddens;Bruidspaar;1727;
249;Vincent van Eyck;Auteur;;
