0;Jaar;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22
1878;1729;Arius Adriani;Johanna Sijlman;Arius Adriani & Johanna Sijlman;Johannes van Velsen;Amsterdam;Johannes Adriani Mensinga ;;;;;;;;;;;;;;;;;;;;;
1879;1737;Wiardus Siccama;Anna Catharina Hora;Wiardus Siccama & Anna Catharina Hora;Johannes van Velsen;Amsterdam;Cornelius van Velzen ;Lambertus Evenhuis ;;;;;;;;;;;;;;;;;;;;
1880;1756;Wilhem Geisweit;Geertruida Lambert;Wilhem Geisweit & Geertruida Lambert;Jan van Velthoven;;Catharina van Laren ;Philip Zweerts ;Wilhelmus Gerardus Motman ;Gualtherus Zoutmaat ;Dirk van der Sluys ;Jacob Langerak Oosterland ;; ;;;;;;;;;;;;;;
1881;1638;Johan Wildeveen;Sara van Dael;Johan Wildeveen & Sara van Dael;Joost Jansz Verheul;;;;;;;;;;;;;;;;;;;;;;;
1882;1724;Willem de Witt;Maria Coster;Willem de Witt & Maria Coster;Jacobus Verheyde;Amsterdam;Jan Baptista Wellekens ;Willem van der Hoeven ;Claas Bruin ;Gijsbert Tysens ;J. de Witt ;;;;;;;;;;;;;;;;;
1883;1730;Jacob Terwen;Suzanna Wynands;Jacob Terwen & Suzanna Wynands;Jacobus Verheyde;Amsterdam;Pieter Langendyk ;;Nicolaas Verheyde ;;;;;;;;;;;;;;;;;;;
1884;1707;David Staats;Johanna Dronker;David Staats & Johanna Dronker;Jacobus Verheyde;Amsterdam;Jakob Schellinger ;;;;;;;;;;;;;;;;;;;;;
1885;1707;David Staats;Johanna Dronker;David Staats & Johanna Dronker;Jacobus Verheyde;Amsterdam;David Hooghuysen ;I. Mooy ;;;;;;;;;;;;;;;;;;;;
1886;1716;Pieter van der Stoot;Josina Margareta Weenix;Pieter van der Stoot & Josina Margareta Weenix;Jacobus Verheyde;Amsterdam;Willem Ignatius Weenix ;;;;;;;;;;;;;;;;;;;;;
1887;1718;Thomas de Penyn;Elisabeth Hubener;Thomas de Penyn & Elisabeth Hubener;Jacobus Verheyde;Amsterdam;Johannes Hubener ;Isaac Vincent ;;;;;;;;;;;;;;;;;;;;
1888;1727;Johannes Beekman;Anna van Schooten;Johannes Beekman & Anna van Schooten;Jacobus Verheyde;Leiden;N. van M.D.H. Schooten ;;;;;;;;;;;;;;;;;;;;;
1889;;Timon de Matter;Margareta Hamers;Timon de Matter & Margareta Hamers;Abraham Verhoef;Utrecht;;;;;;;;;;;;;;;;;;;;;;
1890;1668;Adam van Thiel;Christina Hamers;Adam van Thiel & Christina Hamers;Abraham Verhoef;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1891;1641;Jaques Hennebo;Weyntje Cornelis Ansloo;Jaques Hennebo & Weyntje Cornelis Ansloo;Denijs Verschuere;Amsterdam;Jan Jacobsz Schipper ;;;;;;;;;;;;;;;;;;;;;
1892;1618;Barent Bartholomeusen Poolman;Anneken Fermou;Barent Bartholomeusen Poolman & Anneken Fermou;Joris Veseler;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1893;1618;Pieter Raye;Magdalena Poulle;Pieter Raye & Magdalena Poulle;Joris Veseler;Nieuwkoop;;;;;;;;;;;;;;;;;;;;;;
1894;1618;Leunis Claesen;Geertruyt Jacobs;Leunis Claesen & Geertruyt Jacobs;Joris Veseler;Nieuwkoop;;;;;;;;;;;;;;;;;;;;;;
1895;1618;Nicolaes Jaspers;Geertruyt van den Bergh;Nicolaes Jaspers & Geertruyt van den Bergh;Joris Veseler;Abcoude;Meynert Pietersz Voskuyl ;;;;;;;;;;;;;;;;;;;;;
1896;1618;Isaac Pecreau;Maria van Raey;Isaac Pecreau & Maria van Raey;Joris Veseler;;Thomas Jacobsz Sergeant ;;;;;;;;;;;;;;;;;;;;;
1897;1618;Isaac Pecreau;Maria van Raey;Isaac Pecreau & Maria van Raey;Joris Veseler;;;;;;;;;;;;;;;;;;;;;;;
1898;1619;Abraham de Koussenaer;Elisabeth van der Leyen;Abraham de Koussenaer & Elisabeth van der Leyen;Joris Veseler;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1899;1619;Aernout van der Goes;Janneke Grootwyck;Aernout van der Goes & Janneke Grootwyck;Joris Veseler;;;;;;;;;;;;;;;;;;;;;;;
1900;1624;Cornelis Rutgers;Anna van Loosvelt;Cornelis Rutgers & Anna van Loosvelt;Joris Veseler;Nieuwkoop;Jan van der Veen ;;;;;;;;;;;;;;;;;;;;;
1901;1626;Floers Pieters van der Vecht;Grietje Machiels;Floers Pieters van der Vecht & Grietje Machiels;Joris (wed) Veseler;;;;;;;;;;;;;;;;;;;;;;;
1902;1752;Jan Damasz Hooft;Agatha van Wageningen;Jan Damasz Hooft & Agatha van Wageningen;Jakobus van der Vijle;;Jacob Zoutman ;Ahazueer van den Berg ;;;;;;;;;;;;;;;;;;;;
1903;1668;Willem van Nobelaer;Wilhelmina Snouckaert;Willem van Nobelaer & Wilhelmina Snouckaert;Paulus Vinck;;Johan van Paffenrode ;;;;;;;;;;;;;;;;;;;;;
1904;1696;Pieter Edens;Catharina Inses;Pieter Edens & Catharina Inses;Izaak van der I Vinne;Delft;Laurens van der Vinne ;Izaak van der Vinne ;;;;;;;;;;;;;;;;;;;;
1905;1698;Jacobus de Vos;Katharina van de Ryp;Jacobus de Vos & Katharina van de Ryp;Izaak van der I Vinne;Rotterdam;Jan van Elsland ;;;;;;;;;;;;;;;;;;;;;
1906;1700;Abraham Gryspaard;Susanna de Munnik;Abraham Gryspaard & Susanna de Munnik;Izaak van der I Vinne;;Jan van Elsland ;;;;;;;;;;;;;;;;;;;;;
1907;1706;Abraham Huurkamp;Maria van Wyckhuysen;Abraham Huurkamp & Maria van Wyckhuysen;Izaak van der I Vinne;;Isaak van der Vinne ;;;;;;;;;;;;;;;;;;;;;
1908;1710;Nicolaas Blaaupot;Christina van de Ryp;Nicolaas Blaaupot & Christina van de Ryp;Izaak van der I Vinne;Haarlem;Jan van Elsland ;;;;;;;;;;;;;;;;;;;;;
1909;1730;Frederik Daniel Bongardt;Anna van Koopstadt;Frederik Daniel Bongardt & Anna van Koopstadt;Izaak van der I Vinne;Zandvoort;Willem B.J.B. Hessen ;;;;;;;;;;;;;;;;;;;;;
1910;1747;Jan de Haan;Anna van de Weereld;Jan de Haan & Anna van de Weereld;Izaak van der II Vinne;Amsterdam;A. de Haan ;S. de Haan ;Pieter Corstiaansz Buys ;;;;;;;;;;;;;;;;;;;
1911;1747;Willem Barnaart;Catharina Kops;Willem Barnaart & Catharina Kops;Izaak van der II Vinne;Dordrecht;Willem Philipsz Kops ;;;;;;;;;;;;;;;;;;;;;
1912;1708;Diderik Swartendyk;Johanna Griffioen;Diderik Swartendyk & Johanna Griffioen;Johan Visch;;I.V. Gorcum ;;;;;;;;;;;;;;;;;;;;;
1913;1750;Mento Mentes;Johanna Visch;Mento Mentes & Johanna Visch;Matthaeus Visch;Amsterdam;Theodorus Mentes ;;;;;;;;;;;;;;;;;;;;;
1914;1657;Daniel Toulooper;Levina van Belle;Daniel Toulooper & Levina van Belle;Johannes Vis-hoeck;Amsterdam;N. van Ouderkerck ;;;;;;;;;;;;;;;;;;;;;
1915;1692;Dirk Wybrandsz Paltz;Pietertje Jans Kolk;Dirk Wybrandsz Paltz & Pietertje Jans Kolk;Albert Evertsz Visscher;Amsterdam;Dirk ten Kate ;Lambert Hermansz ten Kate ;N. ten Kate ;;;;;;;;;;;;;;;;;;;
1916;1701;Abraham Verduyn;Dieuwertje Rogge;Abraham Verduyn & Dieuwertje Rogge;Barent Visscher;;Adriaan Spinniker ;Isaac Feitama ;Eduard Feitama ;;;;;;;;;;;;;;;;;;;
1917;1720;Jacob (Jr) Verbeek;Lucia van Leuvenig;Jacob (Jr) Verbeek & Lucia van Leuvenig;Barent (wed) Visscher;Amsterdam;Jan I.F.A.Z. Geldorp ;Claas Bruin ;Jan Baptista Wellekens ;Pieter Vlaming ;Evert Visscher ;A. Verbeek ;;;;;; ;;;;;;;;;;
1918;1711;Jacob van Hoogveld;Josina Betrang;Jacob van Hoogveld & Josina Betrang;Barent (wed) Visscher;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1919;1724;Gerrit Schryver;Meesje van Ossenberg;Gerrit Schryver & Meesje van Ossenberg;Barent (wed) Visscher;Amsterdam;Gerrit Schryver (Jr) ;Isaac Thomasz Delcourt ;Willem van Swaanenburg ;H.V.D.;Evert Visscher ;;;;;; ; ;;;;;;;;;;
1920;1709;Aarnoud Fortgens;Elisabet Hennebo;Aarnoud Fortgens & Elisabet Hennebo;Barent (wed) Visscher;Rotterdam;Lucas F.R. Rotgans ;Willem van der Hoeven ;Herkules Bouman ;J. Fortgens ;Evert Visscher ;;;;;;;;;;;;;;;;;
1921;1709;Hendrik Hofkens;Geertruit Eppenhoff;Hendrik Hofkens & Geertruit Eppenhoff;Barent (wed) Visscher;Eelde;F. Willink ;Evert Visscher ;J. Fortgens ;;;;;;;;;;;;;;;;;;;
1922;1711;Daam van Leuve;Christina van Lochem;Daam van Leuve & Christina van Lochem;Barent (wed) Visscher;Amsterdam;Roeland van F.R. Leuve ;D. Hesseling ;Cornelis van Leuve ;Evert Visscher ;;;;;;;;;;;;;;;;;;
1923;1711;Leonard van Velsen;Anna Vorsterman;Leonard van Velsen & Anna Vorsterman;Barent (wed) Visscher;Amsterdam;J. Fortgens ;Claas Bruin ;Evert Visscher ;;;;;;;;;;;;;;;;;;;
1924;1713;Geeraert Kasparsz Brandt;Kornelia van Rixtel;Geeraert Kasparsz Brandt & Kornelia van Rixtel;Barent (wed) Visscher;Amsterdam;Kornelis Willemsz Westerbaen ;;;;;;;;;;;;;;;;;;;;;
1925;1715;Aarnoud Fortgens;Engelina Teyler;Aarnoud Fortgens & Engelina Teyler;Barent (wed) Visscher;Amsterdam;J. Fortgens ;Abraham Fortgens ;Abraham Heems ;Evert Visscher ;;;;;;;;;;;;;;;;;;
1926;1718;Jacobus van der Hoop;Catharina Hennebo;Jacobus van der Hoop & Catharina Hennebo;Barent (wed) Visscher;Haarlem;Willem van der Hoeven ;Isaac Thomasz Delcourt ;Jan van Hoogstraten ;M.V.D.;David van Hoogstraten ;Evert Visscher ;;;;;; ;;;;;;;;;;
1927;1720;Jacob Schyn;Geertruida Heromans;Jacob Schyn & Geertruida Heromans;Barent (wed) Visscher;;Eduard van Nikkelen ;Johan Hofman ;Jan Geldorp ;Gerardus van Wiert ;Pieter Langendyk ;Jan Spiering ;Evert Visscher ;;;;;;;;;;;;;;;
1928;1722;Jacob van (Jr) Hoogveld;Katharina Schabaelje;Jacob van (Jr) Hoogveld & Katharina Schabaelje;Barent (wed) Visscher;Amsterdam;J. Helgers ;Jan de Haan ;Jan Geldorp ;Claas Bruin ;Evert Visscher ;;;;;;;;;;;;;;;;;
1929;1724;Wynand Blaeupot;Sara Kops;Wynand Blaeupot & Sara Kops;Barent (wed) Visscher;Amsterdam;Jan Baptista Wellekens ;Isaac Thomasz Delcourt ;Claas Bruin ;Pieter Langendyk ;Robert Hennebo ;Pieter (Jr) Merkman ;Michiel van II Leeuwen ;Evert Visscher ;Aäron van Hulkenroy ;;;;;;;;;;;;;
1930;1729;Barnardus de Reus;Maria Groenewoud;Barnardus de Reus & Maria Groenewoud;Evert Visscher;;Evert Visscher ;Claas Bruin ;Pieter Langendyk ;Lambert van den Broek ;;;;;;;;;;;;;;;;;;
1931;1644;Pieter Andriesz Valan;Anna Galiaert;Pieter Andriesz Valan & Anna Galiaert;Hendrick Jansz Visscher;Amsterdam Den Haag;F. Swaen ;;;;;;;;;;;;;;;;;;;;;
1932;1653;Willem Meerman;Perina van Limborch;Willem Meerman & Perina van Limborch;Hendrick Jansz Visscher;Den Haag;Willem van Heemskerk ;;;;;;;;;;;;;;;;;;;;;
1933;1701;Jacobus van Vollenhoven;Engelina Palm;Jacobus van Vollenhoven & Engelina Palm;Jan Visser;;;;;;;;;;;;;;;;;;;;;;;
1934;1660;Philippus Doublet;Susanna Huygens;Philippus Doublet & Susanna Huygens;Adriaen Vlacq;Rotterdam;Nicolaus Heinsius ;Henrick Bruno ;Henricus Nierop ;;;;;;;;;;;;;;;;;;;
1935;1663;Ludovicus Streso;Adriana Brand;Ludovicus Streso & Adriana Brand;Adriaen Vlacq;Den Haag;H. Brand ;Jan van Arp ;Joannes Antonius Tronchinus ;;;;;;;;;;;;;;;;;;;
1936;1737;Pieter Prinsen;Johanna van Driel;Pieter Prinsen & Johanna van Driel;Adriaan Voorstad;Leiden;Cornelis van Driel ;;;;;;;;;;;;;;;;;;;;;
1937;1708;Jan Zachriesze Beenhakker;Magtelt Barents Langerak;Jan Zachriesze Beenhakker & Magtelt Barents Langerak;Andries Voorstad;Amsterdam;Jacob Schim ;;;;;;;;;;;;;;;;;;;;;
1938;1713;Harmanus Turk;Hadewy de Lange;Harmanus Turk & Hadewy de Lange;Andries Voorstad;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1939;1717;Dirk van Dam;Cornelia de Krommen;Dirk van Dam & Cornelia de Krommen;Andries Voorstad;;A. Rotteveel ;;;;;;;;;;;;;;;;;;;;;
1940;1718;Jan van der Dorst;Anna van den Ende;Jan van der Dorst & Anna van den Ende;Andries Voorstad;;A. Rotteveel ;;;;;;;;;;;;;;;;;;;;;
1941;1676;Albert Nylant;Aleida Banniers;Albert Nylant & Aleida Banniers;Enoch de Vries;Alkmaar;;;;;;;;;;;;;;;;;;;;;;
1942;1682;Ernst van Reede van Amerongen;Ida Lukretia van der Beek;Ernst van Reede van Amerongen & Ida Lukretia van der Beek;Enoch de Vries;Amsterdam;Arnold Moonen ;;;;;;;;;;;;;;;;;;;;;
1943;1644;Hans Bartholomeus Stern;Geertruydt Dumberchs;Hans Bartholomeus Stern & Geertruydt Dumberchs;Hendrik Tjercks de Vries;Amsterdam;Jacob Jansz Colevelt ;;;;;;;;;;;;;;;;;;;;;
1944;1706;Dirk Vos van Weel;Elizabeth Texelius;Dirk Vos van Weel & Elizabeth Texelius;Pieter de Vries;Amsterdam;Lucas Schermer ;;;;;;;;;;;;;;;;;;;;;
1945;1758;Claas van der Glas;Catharina Wachtels;Claas van der Glas & Catharina Wachtels;Jacobus Vriese;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1946;1759;Jan Willem van den Bergh;Anna Adriana van Henghel;Jan Willem van den Bergh & Anna Adriana van Henghel;Jacobus Vriese;;Dirk van den Bergh ;Carel van Henghel ;Cornelis Anthonius Wachendorff ;Jan Adriaan van Wachendorff ;Philip Zweerts ;;;;;;;;;;;;;;;;;
1947;1753;Joannes Atlee;Cornelia Maria Oosterdyk;Joannes Atlee & Cornelia Maria Oosterdyk;Nicolaas van Vucht;Amsterdam;Hermannus Gerardus Oosterdyk ;Gerardus Hermannus Oosterdyk ;Willem van der Keere ;Arent van der Keere ;H. van der Keere ;;;;;;; ;;;;;;;;;;
1948;1678;Iman Mogge;Constance Thibaut;Iman Mogge & Constance Thibaut;Abraham van II Waesberge;Amsterdam;Dirk Buisero ;;;;;;;;;;;;;;;;;;;;;
1949;1678;Joannes Antonides van der Goes;Suzanna Bormans;Joannes Antonides van der Goes & Suzanna Bormans;Abraham van II Waesberge;Amsterdam;Katharina Lescailje ;Laurens Bake van Wulverhorst ;Govard Bidloo ;Pieter Verhoek ;Pieter de La Croix ;David van Hoogstraten ;Joan Pluimer ;;;;;;;;;;;;;;;
1950;1632;Michiel de Hartoch;Maria Scheuwen;Michiel de Hartoch & Maria Scheuwen;Isaac van Waesberge;Delft;Hendrick Beck ;;;;;;;;;;;;;;;;;;;;;
1951;1603;Pieter Rezen;Johanna van der Mert;Pieter Rezen & Johanna van der Mert;Jan van II Waesberge;Dordrecht;Aegidius Carpentier ;;;;;;;;;;;;;;;;;;;;;
1952;1603;Jacob van Aerssen;Maria van der Veken;Jacob van Aerssen & Maria van der Veken;Jan van II Waesberge;Amsterdam;Henricus van Cranenburg ;;;;;;;;;;;;;;;;;;;;;
1953;1636;Huybrecht van Belle;Rebecca Hespel;Huybrecht van Belle & Rebecca Hespel;Pieter van I Waesberge;Utrecht;Pieter van Belle ;;;;;;;;;;;;;;;;;;;;;
1954;1639;Pieter van Stralen;Maria de Booys;Pieter van Stralen & Maria de Booys;Pieter van I Waesberge;Utrecht;;;;;;;;;;;;;;;;;;;;;;
1955;1644;Johannes Phenix;Maria Jacobs Maiesteyt;Johannes Phenix & Maria Jacobs Maiesteyt;Pieter van I Waesberge;;I.C. Wijtstraet ;;;;;;;;;;;;;;;;;;;;;
1956;1662;Joan van Horne;Anna van Ulft;Joan van Horne & Anna van Ulft;Salomon Wagenaer;Leiden;;;;;;;;;;;;;;;;;;;;;;
1957;1674;Henricus Althusius;Eva van de Velde;Henricus Althusius & Eva van de Velde;Johannes Wagens;Amsterdam;Petrus Angillius ;Johannes Wagens ;;;;;;;;;;;;;;;;;;;;
1958;1686;Jacobus Geelkerke;Maria Geldhouwers;Jacobus Geelkerke & Maria Geldhouwers;Johannes Wagens;Amsterdam;Pieter Geelkerke ;;;;;;;;;;;;;;;;;;;;;
1959;1654;Georgius Costius;Margarita van Dommelen;Georgius Costius & Margarita van Dommelen;Matthijs I (wed) Wagens;Amsterdam;Simon Simonides ;;;;;;;;;;;;;;;;;;;;;
1960;1654;Georgius Costius;Margarita van Dommelen;Georgius Costius & Margarita van Dommelen;Matthijs I (wed) Wagens;Amsterdam;Nathanaël Cost ;;;;;;;;;;;;;;;;;;;;;
1961;1742;Dirk (Jr) Alewyn;Jacoba Ortt;Dirk (Jr) Alewyn & Jacoba Ortt;Antoni Waldorp;Amsterdam;As Homoet (Jr) ;;;;;;;;;;;;;;;;;;;;;
1962;1746;Johannes Nutges;Ida Maria van Hoogstraten;Johannes Nutges & Ida Maria van Hoogstraten;Antoni Waldorp;Haarlem;Frans van Steenwyk ;;;;;;;;;;;;;;;;;;;;;
1963;1746;Cornelis Rol;Johanna Roemer;Cornelis Rol & Johanna Roemer;Antoni Waldorp;Amsterdam;Jacob Roemer ;Debora Benaarde ;Pieter Walthuysen ;Josina Elisabeth van Kessel ;M.V.L.;Pieter Roemer ;Eduard van Harlingen ;Wilhelmus Kantelaar ;R.A. Hoyman ;;;;;;;;;;;;;
1964;1748;Pieter van den Broek;Magdalena Obrenan;Pieter van den Broek & Magdalena Obrenan;Antoni Waldorp;Ankeveen;Alida Catharina Obrenan ;J.W. Boomhouer ;N. Obrenan ;Cornelis Cornelisz van den Broek ;Jacobus van der Strengh ;Pieter van Meurs ;;;;; ; ;;;;;;;;;;
1965;1759;Hermannus Gerardus Oosterdyk;Aafje Margareta Brouwer;Hermannus Gerardus Oosterdyk & Aafje Margareta Brouwer;Antoni Waldorp;Amsterdam;Hermannus Joannesz Oosterdyk ;Matthias Temminck ;Janus Outman van Aalst ;Gerardus Hermannus Oosterdyk ;Joannes Atlee ;Jan van Markel ;J.D. Brouwer van Staveren ;Nicolaas George Oosterdyk ;Jacobus de II Visscher ;Carel Wouter Visscher ;A.A.K.;Nicolaas Kien ;Gerard Bullens Voogt ;Jacob Langerak Oosterland ;Hermannus Gerardus Oosterdyk ;;;;;;;
1966;1621;Cornelis Matthaeus;Hester Du Pire;Cornelis Matthaeus & Hester Du Pire;Hans Walschaert;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1967;1686;Joannes Sekveld;Katharina van Sevenhoven;Joannes Sekveld & Katharina van Sevenhoven;Klaes Wassenaar;Broek in Waterland;Johannes Duykerius ;;;;;;;;;;;;;;;;;;;;;
1968;1662;Robert Honiwood;Margarite van Vlooswyck;Robert Honiwood & Margarite van Vlooswyck;Abraham de I (wed) Wees;Amsterdam;Joost van den Vondel ;;;;;;;;;;;;;;;;;;;;;
1969;1665;Peter de Wolf;Clementia van der Vecht;Peter de Wolf & Clementia van der Vecht;Abraham de I (wed) Wees;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1970;1683;Gerrit Fortgens;Geertruid Spronck;Gerrit Fortgens & Geertruid Spronck;Abraham de I (wed) Wees;Amsterdam;A. Fortgens ;Michael Fortgens ;;;;;;;;;;;;;;;;;;;;
1971;1685;Jacob ten Grootenhuis;Elisabeth de Dieu;Jacob ten Grootenhuis & Elisabeth de Dieu;Abraham de I (wed) Wees;Amsterdam;Dirk Buisero ;;;;;;;;;;;;;;;;;;;;;
1972;1696;Pieter Rutgers;Ingenia van Lennep;Pieter Rutgers & Ingenia van Lennep;Joannes de Wees;Rotterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
1973;1696;Pieter Rutgers;Ingenia van Lennep;Pieter Rutgers & Ingenia van Lennep;Joannes de Wees;;Gerrit Fortgens ;Joannes de Wees ;;;;;;;;;;;;;;;;;;;;
1974;1670;Arnoldus Bornius;Agatha Welhoeck;Arnoldus Bornius & Agatha Welhoeck;Pieter de Wees;Amsterdam;Reinier Neuhusius ;M. Johannes Foeklerus ;Johannes Hoornbeeck ;Andreas Posthumius ;Johannes Ulaeus ;Jacob Crabbe ;Jacobus Hypositometra ;;;; ; ;;;;;;;;;;
1975;1675;Bernardus Gerbers;Louwisa Saulmond;Bernardus Gerbers & Louwisa Saulmond;Pieter de Wees;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1976;1705;Theodorus Munnekemolen;Brigitta Muurling;Theodorus Munnekemolen & Brigitta Muurling;Gerrit Welhem;Den Haag;Gerardus Kempher ;;;;;;;;;;;;;;;;;;;;;
1977;1710;Johan Joon;Maria Groen;Johan Joon & Maria Groen;Gerrit Welhem;Amsterdam;Ysbrand Watervliet ;;;;;;;;;;;;;;;;;;;;;
1978;1615;Jeremias Plancius;Elisabet de Marez;Jeremias Plancius & Elisabet de Marez;Sebastiaen Wermbouts;Amsterdam;Jacobus Revius ;Gualterus Silvanus ;;;;;;;;;;;;;;;;;;;;
1979;1642;Gillis d' Remaulx;Catharina Egels;Gillis d' Remaulx & Catharina Egels;Hans Passchiers van Wesbusch;Schiedam;;;;;;;;;;;;;;;;;;;;;;
1980;1662;Jacob Christiaens van Eeghen;Maria Bocxhoorn;Jacob Christiaens van Eeghen & Maria Bocxhoorn;Passchier van II Wesbusch;;Ocke Jeyes ;;;;;;;;;;;;;;;;;;;;;
1981;;Izaäk van Westerkappel;Maria Koster;Izaäk van Westerkappel & Maria Koster;Izaak van Westerkappel;Den Haag;Pieter Langendyk ;;;;;;;;;;;;;;;;;;;;;
1982;1731;Harmanus Koster;Clasina Post;Harmanus Koster & Clasina Post;Izaak van Westerkappel;Amsterdam;Pieter Langendyk ;;;;;;;;;;;;;;;;;;;;;
1983;1694;Willem Geisweit;Johanna van den Broeck;Willem Geisweit & Johanna van den Broeck;Jacobus van der Wiel;Vlissingen;Johannis Goris ;;;;;;;;;;;;;;;;;;;;;
1984;1699;Freederyk Dumant;Maria van Bleiswyk;Freederyk Dumant & Maria van Bleiswyk;Laurens van der Wiel;;Amaranthe Maria Paauw ;Christoffel Pierson ;;;;;;;;;;;;;;;;;;;;
1985;1670;Henrick Nilandt;Bartha ten Nuyl;Henrick Nilandt & Bartha ten Nuyl;Willem Wier;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1986;1710;Joan Bouman;Maria Roosen;Joan Bouman & Maria Roosen;Thomas van (erven) Wiering;Amsterdam;Jan de Backer ;;;;;;;;;;;;;;;;;;;;;
1987;1655;Joan van Echten;Anna Elizabeth van Haersolte;Joan van Echten & Anna Elizabeth van Haersolte;Jan Petersz van Wieringen;Amsterdam;Joannes Vollenhove ;;;;;;;;;;;;;;;;;;;;;
1988;1655;Bernard Vollenhove;Hendrina Kruls;Bernard Vollenhove & Hendrina Kruls;Jan Petersz van Wieringen;Hamburg;;;;;;;;;;;;;;;;;;;;;;
1989;1628;Elias Trip;Margarita Schrasserts;Elias Trip & Margarita Schrasserts;Nicolaes van Wieringen;Keulen;R. Eybergen ;;;;;;;;;;;;;;;;;;;;;
1990;1630;Willem Mauritz Bax;Janette Hoefysers;Willem Mauritz Bax & Janette Hoefysers;Nicolaes van Wieringen;Keulen;Adriaan de Sticke ;;;;;;;;;;;;;;;;;;;;;
1991;1640;Gerhard Creyinck t'Overlaer;Anna van Rhemen ter Hoeven;Gerhard Creyinck t'Overlaer & Anna van Rhemen ter Hoeven;Nicolaes van Wieringen;Middelburg;Gerrit van Thiel ;;;;;;;;;;;;;;;;;;;;;
1992;1760;Petrus Wielinga;Barbara Sophia Arnoldus;Petrus Wielinga & Barbara Sophia Arnoldus;Wigerus Wigeri;Amsterdam;Joannes Heringa ;B.J. Knock ;;;;;;;;;;;;;;;;;;;;
1993;1741;Hendrik van Dyk;Cornelia Clockener;Hendrik van Dyk & Cornelia Clockener;Christiaan Wijers;Groningen;Cornelia van Dyk ;Pieter Clockener ;;;;;;;;;;;;;;;;;;;;
1994;1739;George de Visscher;Eva Elizabeth Lynslager;George de Visscher & Eva Elizabeth Lynslager;Christiaan Wijers;Aduard;Christiaan Wijers ;;;;;;;;;;;;;;;;;;;;;
1995;1631;Arent Harmansz Krul;Anskje Bannier;Arent Harmansz Krul & Anskje Bannier;Willem Jansz Wijngaert;Benschop;Jan Harmensz Krul ;;;;;;;;;;;;;;;;;;;;;
1996;1652;Louys Serrurier;Adriana Soetens;Louys Serrurier & Adriana Soetens;Baltus de Wild';Middelburg;;;;;;;;;;;;;;;;;;;;;;
1997;1710;Gerard de Haan;Margaretha Kornelia Canzius;Gerard de Haan & Margaretha Kornelia Canzius;Arnold Willis;Haarlem;Jakob Zeeus ;Jan de Wys ;Arnold Hoogvliet ;Tielman van Bracht ;Arnold Willis ;;;;;;;;;;;;;;;;;
1998;1711;Jakob in de Betouw;Katharina van den Hôlaart;Jakob in de Betouw & Katharina van den Hôlaart;Arnold Willis;Amsterdam;Frans Greenwood ;;;;;;;;;;;;;;;;;;;;;
1999;1711;Filips Crena;Margareta van Breda;Filips Crena & Margareta van Breda;Arnold Willis;Den Haag;Arnold Hoogvliet ;Tielman van Bracht ;Arnold Willis ;;;;;;;;;;;;;;;;;;;
2000;1711;Konstantyn de Vogel;Maria Konstant;Konstantyn de Vogel & Maria Konstant;Arnold Willis;Amsterdam;Arnold Willis ;Jakob Zeeus ;;;;;;;;;;;;;;;;;;;;
2001;1712;Jakob Visch;Geertruid Schepers;Jakob Visch & Geertruid Schepers;Arnold Willis;Amsterdam;Frans Greenwood ;Arnold Willis ;;;;;;;;;;;;;;;;;;;;
2002;1712;Joannes Manschot;Adryana van Rooyen;Joannes Manschot & Adryana van Rooyen;Arnold Willis;;Jacob Schim ;;;;;;;;;;;;;;;;;;;;;
2003;1712;Niklaas Paspoort;Burga Hoogvliet;Niklaas Paspoort & Burga Hoogvliet;Arnold Willis;Amsterdam;Abraham den Back ;Arnold Hoogvliet ;;;;;;;;;;;;;;;;;;;;
2004;1713;Daniel Rolandus;Anthonia Steyaart;Daniel Rolandus & Anthonia Steyaart;Arnold Willis;;Jan de Wys ;Arnold Willis ;;;;;;;;;;;;;;;;;;;;
2005;1714;Albert Koenen;Maria Fransoise Fagel;Albert Koenen & Maria Fransoise Fagel;Arnold Willis;Amsterdam;Kornelis Boon van Engelant ;;;;;;;;;;;;;;;;;;;;;
2006;1717;Gysbert van Rossum;Geertruid van Helmont;Gysbert van Rossum & Geertruid van Helmont;Arnold Willis;Amsterdam;Arnold Willis ;;;;;;;;;;;;;;;;;;;;;
