0;Jaar;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22
35;1744;Nicolaas Simon van Winter;Johanna Muhl;Nicolaas Simon van Winter & Johanna Muhl;;Amsterdam;Nicolaas Simon van Winter ;Agatha Maria Sena ;Elisabeth van Leeuwaarden ;Bernardus de Bosch ;;;;;;;;;;;;;;;;;;
36;1729;Egidius van den Bempden;Aagje Hooft;Egidius van den Bempden & Aagje Hooft;Wor & Onder de Linden;Amsterdam;Elbert Clermont ;;;;;;;;;;;;;;;;;;;;;
37;1730;Adrianus Blok;Catarina Hillegonda Hennebo;Adrianus Blok & Catarina Hillegonda Hennebo;Harder van (wed) Ditmer;Utrecht;Anna Geertruy Woordenberg ;;;;;;;;;;;;;;;;;;;;;
38;1744;Gerard Winter;Aletta Maria Duyvensz;Gerard Winter & Aletta Maria Duyvensz;Hendrik Callenbach;Gorinchem;Jan Biman ;Anthony Bartelink ;;;;;;;;;;;;;;;;;;;;
39;1744;Gerard Winter;Aletta Maria Duyvensz;Gerard Winter & Aletta Maria Duyvensz;Hendrik Callenbach;Amsterdam;Hendrik Callenbach ;;;;;;;;;;;;;;;;;;;;;
40;1741;Jan Biman;Margareta Puit;Jan Biman & Margareta Puit;Hendrik Callenbach;Gouda;Curtius Nordingh Doitsma ;Pieter Straat ;Anthony Bartelink ;Hendrik Callenbach ;Pieter Hoexma ;;;;;;;;;;;;;;;;;
41;1709;Jacobus Josias van Bredehoff;Catharina van Foreest;Jacobus Josias van Bredehoff & Catharina van Foreest;Elbert Beukelman;Amsterdam;Salomo van der Ster ;Johannes Doitsma ;Cornelis Pyper ;B. Goorn ;H.B.;T.D.;C.V.V.S.;;;;;;;;;;;;;;;
42;1703;Johannes Stam;Margareta Kock;Johannes Stam & Margareta Kock;Barent Bos;Amsterdam;Warner Lulofs ;Leendert Pot ;G. Stam ;N.B.;;;;;;;;;;;;;;;;;;
43;1759;Jan Jacob van Westreenen;Johanna Catharina Mamuchet de Houderingen;Jan Jacob van Westreenen & Johanna Catharina Mamuchet de Houderingen;;;Margareta Petronella Keppel ;;;;;;;;;;;;;;;;;;;;;
44;1751;Jan Middelman;Anna Berck;Jan Middelman & Anna Berck;Hendrik Willem Dronsberg;;Anthonia A.W.S. Berck ;Catharina Jacoba Middelman ;Abraham Middelman ;Paulus Rombertus Nauta ;Roelof Wouters ;Hendrik Willem Dronsberg ;E.S.;L.M.Q.P.;G.C.V.O.P.O.D.C.V.L.E.N.R.L.;J.V.C.;A.V.A.;;;;;;;;;;;
45;1721;Franciscus Dankers;Cornelia Robol;Franciscus Dankers & Cornelia Robol;;Amsterdam;A.S.;;;;;;;;;;;;;;;;;;;;;
46;1721;Adriaen Maten;Maria van Vollenhoven;Adriaen Maten & Maria van Vollenhoven;Lescailje;Amsterdam;Jan Baptista Wellekens ;Claas Bruin ;Balthazar Huydecoper ;Pieter Vlaming ;A.W.;J.V.M.;;;;;;;;;;;;;;;;
47;1728;Jan Stam;Margareta Kock;Jan Stam & Margareta Kock;Nicolaas (wed) Bos;Leiden;I.V.B.;;;;;;;;;;;;;;;;;;;;;
