0;Database;Jaar;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats_druk;Plaats_huwelijk;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22;Alleauteurs
2315;KB;1614.0;Diedericus Petreius;Anneken Jans de Vrij;Diedericus Petreius & Anneken Jans de Vrij;;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
249;KB;1615.0;Wilhelm Luytsz van Kittensteyn;Maria Lambrechts Cocqus;Wilhelm Luytsz van Kittensteyn & Maria Lambrechts Cocqus;Jan Andriesz;Delft;;;;;;;;;;;;;;;;;;;;;;;;
583;KB;1615.0;Claas Adriaensz Buyk;Aaltjen Jacobsd Calven;Claas Adriaensz Buyk & Aaltjen Jacobsd Calven;Gerrit Hendricxsz van Breughel;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
672;KB;1615.0;Lenaert Hosman;Sara de Witte;Lenaert Hosman & Sara de Witte;Gerrit Hendricxsz van Breughel;Amsterdam;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
1161;KB;1615.0;Willem Claesz;Marritgen Philips;Willem Claesz & Marritgen Philips;Broer Jansz;Amsterdam;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
1403;KB;1615.0;Peeter Ludhens;Anna Rodenburg;Peeter Ludhens & Anna Rodenburg;Porcevant Morgan;Amsterdam;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
1404;KB;1615.0;Peeter Ludhens;Anna Roodenburg;Peeter Ludhens & Anna Roodenburg;Porcevant Morgan;Amsterdam;Amsterdam;Jan Sieuwertsz Kolm;;;;;;;;;;;;;;;;;;;;;;Jan Sieuwertsz Kolm
1405;KB;1615.0;Pieter van den Broeck;Grietken Jansd;Pieter van den Broeck & Grietken Jansd;Porcevant Morgan;Amsterdam;Gouda;;;;;;;;;;;;;;;;;;;;;;;
1569;KB;1615.0;Jan Gisbertsen;Stijntjen Ares;Jan Gisbertsen & Stijntjen Ares;Dirck Pietersz Pers;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
1570;KB;1615.0;Antonius Roscius;Jannetjen Jansd;Antonius Roscius & Jannetjen Jansd;Dirck Pietersz Pers;Amsterdam;Haarlem;Joost van den Vondel;;;;;;;;;;;;;;;;;;;;;;Joost van den Vondel
1620;KB;1615.0;Jeremias Plancius;Elisabet de Marez;Jeremias Plancius & Elisabet de Marez;Paulus Aertsz van Ravesteyn;Amsterdam;Amsterdam;D. Plancius;H. Vogelius;Daniel Mostart;;;;;;;;;;;;;;;;;;;;D. Plancius, H. Vogelius, Daniel Mostart
1978;KB;1615.0;Jeremias Plancius;Elisabet de Marez;Jeremias Plancius & Elisabet de Marez;Sebastiaen Wermbouts;Deventer;Amsterdam;Jacobus Revius;Gualterus Silvanus;;;;;;;;;;;;;;;;;;;;;Jacobus Revius, Gualterus Silvanus
