0;Database;Jaar;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats_druk;Plaats_huwelijk;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22;Alleauteurs
1552;KB;1719.0;Petrus Nahuys;Sara Catharina van Hoeke;Petrus Nahuys & Sara Catharina van Hoeke;Gijsbert van Paddenburg;Utrecht;Amsterdam;Jan Jacob de Haan;Gerhard Nahuys;;;;;;;;;;;;;;;;;;;;;Jan Jacob de Haan, Gerhard Nahuys
1662;KB;1719.0;Pieter Banheining;Cornelia Roswinkel;Pieter Banheining & Cornelia Roswinkel;Andries Rempelaar;Amsterdam;Delft;F. Roswinkel;;;;;;;;;;;;;;;;;;;;;;F. Roswinkel
1789;KB;1719.0;Abraham de Ridder;Johanna Magdalena van Dyk;Abraham de Ridder & Johanna Magdalena van Dyk;Johannes Smets;Amsterdam;Amsterdam;Simon de Ridder;Gerrit van Dulken;Jan Verhoeve;Willem van der Hoeven;;;;;;;;;;;;;;;;;;;Simon de Ridder, Gerrit van Dulken, Jan Verhoeve, Willem van der Hoeven
1799;KB;1719.0;Jan Bent;Aaltje Schellinger;Jan Bent & Aaltje Schellinger;Pieter Jacobsz Spaan;Hoorn;Amsterdam;Claas t Lam;;;;;;;;;;;;;;;;;;;;;;Claas t Lam
2060;KB;1719.0;Mattheus de Jager;Catharina Calkoen;Mattheus de Jager & Catharina Calkoen;;;;Jan Baptista Wellekens;;;;;;;;;;;;;;;;;;;;;;Jan Baptista Wellekens
2061;KB;1719.0;Hendrik Bodisco;Jacomina Gallard;Hendrik Bodisco & Jacomina Gallard;;;;P. Struyk;;;;;;;;;;;;;;;;;;;;;;P. Struyk
2162;KB;1719.0;Johan van Binnevest;Johanna Lopez;Johan van Binnevest & Johanna Lopez;;;;Petrus Wilhelmus Vromans;;;;;;;;;;;;;;;;;;;;;;Petrus Wilhelmus Vromans
2632;KB;1719.0;Hendrik Hooft;Margareta Willink;Hendrik Hooft & Margareta Willink;;;Haarlem Amsterdam;Claas Bruin;;;;;;;;;;;;;;;;;;;;;;Claas Bruin
2633;KB;1719.0;Jacob de Bruyn;Johanna van Neercassel;Jacob de Bruyn & Johanna van Neercassel;;;Zaandam;Benedictus van Ryneveld;Willem van der Hoeven;Claas Bruin;Pieter Langendyk;Enoch Krook;Hendrik van de Gaete;;;;;;;;;;;;;;;;;Benedictus van Ryneveld, Willem van der Hoeven, Claas Bruin, Pieter Langendyk, Enoch Krook, Hendrik van de Gaete
2634;KB;1719.0;Petrus Nahuys;Sara Catharina van Hoeke;Petrus Nahuys & Sara Catharina van Hoeke;;;;A. de Reus;;;;;;;;;;;;;;;;;;;;;;A. de Reus
2635;KB;1719.0;Joris van Hoogwerff;Johanna Hobma;Joris van Hoogwerff & Johanna Hobma;;;;Dirk A.H.E.B. Hobma;F. de Mirell;;;;;;;;;;;;;;;;;;;;;Dirk A.H.E.B. Hobma, F. de Mirell
2636;KB;1719.0;Christoffel Six;Anna Jacoba van Vladeracken;Christoffel Six & Anna Jacoba van Vladeracken;;;;Jacob Josias Vryburgh van de Kapelle;Michiel van Leeuwen;;;;;;;;;;;;;;;;;;;;;Jacob Josias Vryburgh van de Kapelle, Michiel van Leeuwen
2637;KB;1719.0;Christoffel Six;Anna Jacoba van Vladeracken;Christoffel Six & Anna Jacoba van Vladeracken;;;Amsterdam;Hendrik Snakenburg;;;;;;;;;;;;;;;;;;;;;;Hendrik Snakenburg
2638;KB;1719.0;Dirk van Noort;Judit Elizabeth van Waard;Dirk van Noort & Judit Elizabeth van Waard;;;Amsterdam;Katharina Lusia van Ravesteyn;Sara Maria van Ravesteyn;Laurens Steversloot;;;;;;;;;;;;;;;;;;;;Katharina Lusia van Ravesteyn, Sara Maria van Ravesteyn, Laurens Steversloot
2639;KB;1719.0;Johannes Leembrugge;Wilhelmina Blooteling;Johannes Leembrugge & Wilhelmina Blooteling;;;Utrecht;N.G. van Overvelt;Wilhelmus La Bordus;;;;;;;;;;;;;;;;;;;;;N.G. van Overvelt, Wilhelmus La Bordus
2640;KB;1719.0;Theodoor van Snakenburg;Rachel Wasteau;Theodoor van Snakenburg & Rachel Wasteau;;;Amsterdam;David van Royen;Franciscus van Oudendorp;Nicolaus Plemper;F. Zoeten;Hendrik Snakenburg;;;;;;;;;;;;;;;;;;David van Royen, Franciscus van Oudendorp, Nicolaus Plemper, F. Zoeten, Hendrik Snakenburg
2641;KB;1719.0;Theodoor van Snakenburg;Rachel Wasteau;Theodoor van Snakenburg & Rachel Wasteau;;;Amsterdam;Franciscus van Oudendorp;David van Royen;;;;;;;;;;;;;;;;;;;;;Franciscus van Oudendorp, David van Royen
2642;KB;1719.0;Joannes Fredericus Gronovius;Margareta Christina Trigland;Joannes Fredericus Gronovius & Margareta Christina Trigland;;;Amsterdam;Hendrik Snakenburg;;;;;;;;;;;;;;;;;;;;;;Hendrik Snakenburg
2643;KB;1719.0;Joannes Fredericus Gronovius;Margareta Christina Trigland;Joannes Fredericus Gronovius & Margareta Christina Trigland;;;Amsterdam;Jacoba de Witt;;;;;;;;;;;;;;;;;;;;;;Jacoba de Witt
2644;KB;1719.0;David Raket;Adriana Margareta de Gyselaar;David Raket & Adriana Margareta de Gyselaar;;;Amsterdam;Jacob Raket (Jr);Eduard Sennepart;Cornelius de Krankel;;;;;;;;;;;;;;;;;;;;Jacob Raket (Jr), Eduard Sennepart, Cornelius de Krankel
2645;KB;1719.0;Willem van der Meer;Ida Heling;Willem van der Meer & Ida Heling;;;Amsterdam;van der Meer;;;;;;;;;;;;;;;;;;;;;;van der Meer
2646;KB;1719.0;Nikolaus de Bye;Elizabeth Anna Crommelin;Nikolaus de Bye & Elizabeth Anna Crommelin;;;Amsterdam;Hendrik Snakenburg;;;;;;;;;;;;;;;;;;;;;;Hendrik Snakenburg
2647;KB;1719.0;Govert van Slingeland;Ernestina Geertruida de Beveren;Govert van Slingeland & Ernestina Geertruida de Beveren;;;Amsterdam;David van Hoogstraten;;;;;;;;;;;;;;;;;;;;;;David van Hoogstraten
3578;STCN;1719.0;Jan Montauban;Barbera van Spuyenburg;Jan Montauban & Barbera van Spuyenburg;Hermanus Ackerman;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
3579;STCN;1719.0;Cornelis Oterlyk;Hilgonda Oterlyk;Cornelis Oterlyk & Hilgonda Oterlyk;Hermanus Ackerman;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
3619;STCN;1719.0;Jan Ermen;Maria Lups;Jan Ermen & Maria Lups;Lescailje;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
3744;STCN;1719.0;Everard Francois Schimmelpenningh;Sara du Try;Everard Francois Schimmelpenningh & Sara du Try;Johannes van Oosterwyk;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
3747;STCN;1719.0;Wynand Koch;Johanna Katharina van Malsen;Wynand Koch & Johanna Katharina van Malsen;Johannes van Oosterwyk;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
3888;STCN;1719.0;Christoffel Six;Anna Jacoba van Vladeracken;Christoffel Six & Anna Jacoba van Vladeracken;;;;Hendrik Snakenburg;;;;;;;;;;;;;;;;;;;;;;Hendrik Snakenburg
3953;Steur;1719.0;Hendrik Hoofd;Margareta Willink;Hendrik Hoofd & Margareta Willink;Hendrik van de Gaete;Amsterdam;;Claas Bruin;Pieter Langendijk;W. Buissand de Jonge;;;;;;;;;;;;;;;;;;;;Claas Bruin, Pieter Langendijk, W. Buissand de Jonge
25;KB;1720.0;Cornelis Izaaksz van den Bogaerd;Christina Willink;Cornelis Izaaksz van den Bogaerd & Christina Willink;;;Amsterdam;A. Izaaksz van den Bogaerd;Claas Bruin;Pieter Langendyk;Kornelis van Koeverden;;;;;;;;;;;;;;;;;;;A. Izaaksz van den Bogaerd, Claas Bruin, Pieter Langendyk, Kornelis van Koeverden
26;KB;1720.0;Abraham Buyssant;Catharina Des Amorie;Abraham Buyssant & Catharina Des Amorie;Johannes van Oosterwyk;Amsterdam;Amsterdam;Cornelius van Arckel;Jacobus Boutkan;Pieter Langendyk;Jan Baptista Wellekens;Claas Bruin;Govert van Mater;Johannes van Oosterwyk;;;;;;;;;;;;;;;;Cornelius van Arckel, Jacobus Boutkan, Pieter Langendyk, Jan Baptista Wellekens, Claas Bruin, Govert van Mater, Johannes van Oosterwyk
27;KB;1720.0;Christiaan van der Meulen;Geertruid Des Amorie;Christiaan van der Meulen & Geertruid Des Amorie;Hermanus van (wed) Hulkenroy;Haarlem;Hazerswoude;Cornelius van Arckel;Govert van Mater;Claas Bruin;Aegidius van Hoven;Aäron van Hulkenroy;Abraham van Loon;Pieter Langendyk;P.V.Az;;;;;;;;;;;;;;;Cornelius van Arckel, Govert van Mater, Claas Bruin, Aegidius van Hoven, Aäron van Hulkenroy, Abraham van Loon, Pieter Langendyk, P.V.Az
78;KB;1720.0;Jacob van Heule;Lidia Swart;Jacob van Heule & Lidia Swart;;;Rotterdam;Jan Goeree;;;;;;;;;;;;;;;;;;;;;;Jan Goeree
142;KB;1720.0;Jan van Kesteren;Lucresia Rosdorp;Jan van Kesteren & Lucresia Rosdorp;Harder van Ditmer;Amsterdam;Amsterdam;Anthony van der Voort;Arnoldus Noordbeek;;;;;;;;;;;;;;;;;;;;;Anthony van der Voort, Arnoldus Noordbeek
166;KB;1720.0;Adriaan Prins;Elizabeth Schepers;Adriaan Prins & Elizabeth Schepers;Michel Böhm;Rotterdam;Rotterdam;Pieter van der Schelling;;;;;;;;;;;;;;;;;;;;;;Pieter van der Schelling
437;KB;1720.0;Jan van den Bosch;Cornelia Eliana Scott;Jan van den Bosch & Cornelia Eliana Scott;Lescailje;Amsterdam;;Balthazar Huydecoper;;;;;;;;;;;;;;;;;;;;;;Balthazar Huydecoper
502;KB;1720.0;Galenus van Baerle;Johanna Willemina Streso;Galenus van Baerle & Johanna Willemina Streso;Willem Barents;Amsterdam;Amsterdam;Aurelia Zwartte;Matthaeus Brouërius van Nidek;Hermanus Verwit;L. Ryk;;;;;;;;;;;;;;;;;;;Aurelia Zwartte, Matthaeus Brouërius van Nidek, Hermanus Verwit, L. Ryk
636;KB;1720.0;Abraham Gronovius;Dorothea Wynanda van Wyck;Abraham Gronovius & Dorothea Wynanda van Wyck;Thomas Appels;Utrecht;Hoorn;Balthazar Huydecoper;;;;;;;;;;;;;;;;;;;;;;Balthazar Huydecoper
704;KB;1720.0;Willem baron van IV Liere;Louisa Isabella barones van Brakel;Willem baron van IV Liere & Louisa Isabella barones van Brakel;Jan van Damme;Leiden;;T. Wavelhoorn;;;;;;;;;;;;;;;;;;;;;;T. Wavelhoorn
836;KB;1720.0;Nikolaas Verschaak;Apollonia van Bergen;Nikolaas Verschaak & Apollonia van Bergen;Paulus (wed) Boekenes;Rotterdam;Dordrecht;Jan Jansz de Cerff;;;;;;;;;;;;;;;;;;;;;;Jan Jansz de Cerff
1103;KB;1720.0;Lodewyk van Plettenberg;Ermgard Heinsius;Lodewyk van Plettenberg & Ermgard Heinsius;;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
1123;KB;1720.0;Adriaan Prins;Elizabeth Schepers;Adriaan Prins & Elizabeth Schepers;Johannes I Hofhout;Rotterdam;Kampen;Gerard Westerwyk;;;;;;;;;;;;;;;;;;;;;;Gerard Westerwyk
1133;KB;1720.0;Thomas van Wyndersel;Maria Hooghuysen;Thomas van Wyndersel & Maria Hooghuysen;Nicolaas ten Hoorn;Amsterdam;Amsterdam;Johannes Wilhelmus Martini;David Hooghuysen;Elias Hooghuysen;;;;;;;;;;;;;;;;;;;;Johannes Wilhelmus Martini, David Hooghuysen, Elias Hooghuysen
1148;KB;1720.0;Jacob van der Lanen;Annetje Kooylek;Jacob van der Lanen & Annetje Kooylek;Aäron van Hulkenroy;Haarlem;Amsterdam;Cornelius van Arckel;Johannes Lomannus;;;;;;;;;;;;;;;;;;;;;Cornelius van Arckel, Johannes Lomannus
1153;KB;1720.0;Jan Roozeboom;Maria van Beek;Jan Roozeboom & Maria van Beek;Hermanus van (wed) Hulkenroy;Haarlem;Amsterdam;P. van Dam;Govert van Mater;Aäron van Hulkenroy;;;;;;;;;;;;;;;;;;;;P. van Dam, Govert van Mater, Aäron van Hulkenroy
1336;KB;1720.0;Pieter van der Strengh;Magdalena Luls;Pieter van der Strengh & Magdalena Luls;Gerard onder de Linden;Amsterdam;Delft;;;;;;;;;;;;;;;;;;;;;;;
1398;KB;1720.0;Pieter Pietermaat;Elizabeth Pond;Pieter Pietermaat & Elizabeth Pond;Nikolaas Mol;Alkmaar;Amsterdam;Jacob Lakeman;Jacob Josias Vryburgh van de Kapelle;Gerardus Kempher;;;;;;;;;;;;;;;;;;;;Jacob Lakeman, Jacob Josias Vryburgh van de Kapelle, Gerardus Kempher
1477;KB;1720.0;Abraham de Neufville;Sara Blaaupot;Abraham de Neufville & Sara Blaaupot;Johannes van Oosterwyk;Amsterdam;Haarlem;Gilbert de Flines;Johannes van Oosterwyk;Ludolph Smids;Jan Baptista Wellekens;Claas Bruin;Isaac Thomasz Delcourt;;;;;;;;;;;;;;;;;Gilbert de Flines, Johannes van Oosterwyk, Ludolph Smids, Jan Baptista Wellekens, Claas Bruin, Isaac Thomasz Delcourt
1478;KB;1720.0;Pieter Maiden;Elizabeth Seevenhuisen;Pieter Maiden & Elizabeth Seevenhuisen;Johannes van Oosterwyk;Amsterdam;Haarlem;Johannes van Oosterwyk;;;;;;;;;;;;;;;;;;;;;;Johannes van Oosterwyk
1479;KB;1720.0;Eduard van Nikkelen;Cornelia van Groeningen;Eduard van Nikkelen & Cornelia van Groeningen;Johannes van Oosterwyk;Amsterdam;Amsterdam;Johannes van Oosterwyk;D. van Nikkelen;R. van Wiert;Gerardus van Wiert;Pieter Langendyk;J. Daams;;;;;;;;;;;;;;;;;Johannes van Oosterwyk, D. van Nikkelen, R. van Wiert, Gerardus van Wiert, Pieter Langendyk, J. Daams
1480;KB;1720.0;Huybert van Dam;Magtilda van der Keere;Huybert van Dam & Magtilda van der Keere;Johannes van Oosterwyk;Amsterdam;Amsterdam;Claas Bruin;Johannes van Oosterwyk;Pieter Langendyk;Jakob Schellinger;David Hooghuysen;;;;;;;;;;;;;;;;;;Claas Bruin, Johannes van Oosterwyk, Pieter Langendyk, Jakob Schellinger, David Hooghuysen
1481;KB;1720.0;Hendrik Hermansz;Maria Katharina Beck;Hendrik Hermansz & Maria Katharina Beck;Johannes van Oosterwyk;Amsterdam;Amsterdam;F. Beck;Matthaeus Brouërius van Nidek;Adriaan Drabbe;Johannes van Oosterwyk;;;;;;;;;;;;;;;;;;;F. Beck, Matthaeus Brouërius van Nidek, Adriaan Drabbe, Johannes van Oosterwyk
1482;KB;1720.0;Hendrik Voorn;Christina Nunninck;Hendrik Voorn & Christina Nunninck;Johannes van Oosterwyk;Amsterdam;Amsterdam;J.H.G. B.M.;Vincent P.H. Brouwer;Johannes van Oosterwyk;;;;;;;;;;;;;;;;;;;;J.H.G. B.M., Vincent P.H. Brouwer, Johannes van Oosterwyk
1532;KB;1720.0;Hendrik van Halmael;Catrina van Boorn;Hendrik van Halmael & Catrina van Boorn;Johannes van Oosterwyk;Amsterdam;Amsterdam;Leendert van Velsen;Claas Bruin;Pieter Langendyk;Johannes van Oosterwyk;Willem van der Hoeven;;;;;;;;;;;;;;;;;;Leendert van Velsen, Claas Bruin, Pieter Langendyk, Johannes van Oosterwyk, Willem van der Hoeven
1595;KB;1720.0;Gerard de Mauregnault;Johanna Cornelia de Muincq;Gerard de Mauregnault & Johanna Cornelia de Muincq;Aäron van II Poulle;Middelburg;;Johan de Mauregnault;;;;;;;;;;;;;;;;;;;;;;Johan de Mauregnault
1663;KB;1720.0;Hendrik van Harten;Johanna Verdogh;Hendrik van Harten & Johanna Verdogh;Andries Rempelaar;Amsterdam;Delft;Jan van Hoogstraten;;;;;;;;;;;;;;;;;;;;;;Jan van Hoogstraten
1917;KB;1720.0;Jacob (Jr) Verbeek;Lucia van Leuvenig;Jacob (Jr) Verbeek & Lucia van Leuvenig;Barent Visscher;Amsterdam;Amsterdam;Jan Geldorp;Claas Bruin;Jan Baptista Wellekens;Pieter Vlaming;Evert Visscher;A. Verbeek;I.F.A.Z.;;;;;;;;;;;;;;;;Jan Geldorp, Claas Bruin, Jan Baptista Wellekens, Pieter Vlaming, Evert Visscher, A. Verbeek, I.F.A.Z.
1927;KB;1720.0;Jacob Schyn;Geertruida Heromans;Jacob Schyn & Geertruida Heromans;Barent Visscher;Amsterdam;;Eduard van Nikkelen;Johan Hofman;Jan Geldorp;Gerardus van Wiert;Pieter Langendyk;Jan Spiering;Evert Visscher;;;;;;;;;;;;;;;;Eduard van Nikkelen, Johan Hofman, Jan Geldorp, Gerardus van Wiert, Pieter Langendyk, Jan Spiering, Evert Visscher
2007;KB;1720.0;Adriaan Prins;Elizabeth Schepers;Adriaan Prins & Elizabeth Schepers;Arnold Willis;Rotterdam;Amsterdam;Frans Greenwood;Arnold Willis;;;;;;;;;;;;;;;;;;;;;Frans Greenwood, Arnold Willis
2062;KB;1720.0;Nicolaas van Loenen;Maria Craandyk;Nicolaas van Loenen & Maria Craandyk;;;;Pieter Langendyk;;;;;;;;;;;;;;;;;;;;;;Pieter Langendyk
2063;KB;1720.0;Justus de Veer;Catharina Bruynvis;Justus de Veer & Catharina Bruynvis;;;;David van Hoogstraten;Jacob van Veen;;;;;;;;;;;;;;;;;;;;;David van Hoogstraten, Jacob van Veen
2064;KB;1720.0;Frans van de Wall;Geertruid Deym;Frans van de Wall & Geertruid Deym;;;Amsterdam;Pieter Vlaming;;;;;;;;;;;;;;;;;;;;;;Pieter Vlaming
2065;KB;1720.0;Frans van de Wall;Geertruid Deym;Frans van de Wall & Geertruid Deym;;;Amsterdam;Balthazar Huydecoper;;;;;;;;;;;;;;;;;;;;;;Balthazar Huydecoper
2163;KB;1720.0;Jan Meyn;Geertruy Wynands;Jan Meyn & Geertruy Wynands;;;Amsterdam;Alida Meyn Bolte;;;;;;;;;;;;;;;;;;;;;;Alida Meyn Bolte
2164;KB;1720.0;Gerard Geerling;Machtilda Hollebeek;Gerard Geerling & Machtilda Hollebeek;;;Amsterdam;Jacobus Oosterdyk;Joannes Oosterdyk;;;;;;;;;;;;;;;;;;;;;Jacobus Oosterdyk, Joannes Oosterdyk
2165;KB;1720.0;Gerard Geerling;Machtilda Hollebeek;Gerard Geerling & Machtilda Hollebeek;;;;Laurens Steversloot;;;;;;;;;;;;;;;;;;;;;;Laurens Steversloot
2287;KB;1720.0;Jan Meerman;Adriana van Santen;Jan Meerman & Adriana van Santen;;;;Paulus Hendriksz Verryn;Claas Bruin;;;;;;;;;;;;;;;;;;;;;Paulus Hendriksz Verryn, Claas Bruin
2648;KB;1720.0;Dirk Smit;Catharina Wilkens;Dirk Smit & Catharina Wilkens;;;;Hendrik Snakenburg;J. Wilkens;Hendrik Wilkens;F. Bormeester;;;;;;;;;;;;;;;;;;;Hendrik Snakenburg, J. Wilkens, Hendrik Wilkens, F. Bormeester
2649;KB;1720.0;Willem baron van IV Liere;Louisa Isabella barones van Brakel;Willem baron van IV Liere & Louisa Isabella barones van Brakel;;;Amsterdam;Joan Doornik;Hendrik Snakenburg;Gerard Le Maire;Kornelis Willemsz Westerbaen;A. Dekker;M. Langevelt;;;;;;;;;;;;;;;;;Joan Doornik, Hendrik Snakenburg, Gerard Le Maire, Kornelis Willemsz Westerbaen, A. Dekker, M. Langevelt
2650;KB;1720.0;Abraham van Dooreslaer;Johanna Elisabeth van Arp;Abraham van Dooreslaer & Johanna Elisabeth van Arp;;;Haarlem;Jacob van Veen;Jacobus Targier;David van Hoogstraten;;;;;;;;;;;;;;;;;;;;Jacob van Veen, Jacobus Targier, David van Hoogstraten
2651;KB;1720.0;Nicolaas Veldingh;Sara van Oosten;Nicolaas Veldingh & Sara van Oosten;;;Leiden;J. van Oosten;;;;;;;;;;;;;;;;;;;;;;J. van Oosten
2652;KB;1720.0;Barend Gerbrand Homoet;Anna Horneman;Barend Gerbrand Homoet & Anna Horneman;;;Haarlem;Hermannus Angelkot;;;;;;;;;;;;;;;;;;;;;;Hermannus Angelkot
2653;KB;1720.0;Johannes Philippus de Bruine;Aletta Maria de Witt;Johannes Philippus de Bruine & Aletta Maria de Witt;;;Amsterdam;H.A. Sluyter;;;;;;;;;;;;;;;;;;;;;;H.A. Sluyter
2654;KB;1720.0;Coenraad Cappelen;Anna Maria Dreyer;Coenraad Cappelen & Anna Maria Dreyer;;;Den Haag;H. Oortman (Jr);;;;;;;;;;;;;;;;;;;;;;H. Oortman (Jr)
2655;KB;1720.0;Balduinus ter Braak;Francina Tyken;Balduinus ter Braak & Francina Tyken;;;Amsterdam;Katharina Lusia van Ravesteyn;Nicolaas van Poelgeest;Joannes Martinus Themmen;Cornelis de Jong;Antonia Bakx;;;;;;;;;;;;;;;;;;Katharina Lusia van Ravesteyn, Nicolaas van Poelgeest, Joannes Martinus Themmen, Cornelis de Jong, Antonia Bakx
2656;KB;1720.0;Abraham Gronovius;Dorothea Wynanda van Wyck;Abraham Gronovius & Dorothea Wynanda van Wyck;;;Rotterdam;Hendrik Snakenburg;;;;;;;;;;;;;;;;;;;;;;Hendrik Snakenburg
2657;KB;1720.0;Jacob Luykink;Anna van Reekening;Jacob Luykink & Anna van Reekening;;;Haastrecht;;;;;;;;;;;;;;;;;;;;;;;
2658;KB;1720.0;Mattheus de Jager;Antonia de Veer;Mattheus de Jager & Antonia de Veer;;;Breda;Jacob van Veen;Willem van der Hoeven;;;;;;;;;;;;;;;;;;;;;Jacob van Veen, Willem van der Hoeven
2659;KB;1720.0;Wilhelmus van Eenhoorn;Magdalena van Oort;Wilhelmus van Eenhoorn & Magdalena van Oort;;;Rotterdam;Fransina Jacoba Coets geb. Van Westrem;;;;;;;;;;;;;;;;;;;;;;Fransina Jacoba Coets geb. Van Westrem
2660;KB;1720.0;Willem de Raven;Catharina Maria Borst;Willem de Raven & Catharina Maria Borst;;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
2661;KB;1720.0;Jan Petersen;Sara Michell;Jan Petersen & Sara Michell;;;Den Haag;J. van Saen;Willem van der Hoeven;Jan van Hoogstraten;David van Hoogstraten;Joannes Michell;;;;;;;;;;;;;;;;;;J. van Saen, Willem van der Hoeven, Jan van Hoogstraten, David van Hoogstraten, Joannes Michell
2662;KB;1720.0;David (Jr) Wilmerdonx;Sara Roos;David (Jr) Wilmerdonx & Sara Roos;;;Rotterdam;Isaac Thomasz Delcourt;Jacobus Targier;Harmanus Meyer;Evert Visscher;;;;;;;;;;;;;;;;;;;Isaac Thomasz Delcourt, Jacobus Targier, Harmanus Meyer, Evert Visscher
2663;KB;1720.0;Kornelis Backer;Margareete Bicker;Kornelis Backer & Margareete Bicker;;;Rotterdam;Hendrik Snakenburg;;;;;;;;;;;;;;;;;;;;;;Hendrik Snakenburg
2664;KB;1720.0;Kornelis Backer;Margareete Bicker;Kornelis Backer & Margareete Bicker;;;Rotterdam;Pieter de Bye;;;;;;;;;;;;;;;;;;;;;;Pieter de Bye
2665;KB;1720.0;Jacob Witte;Judith Kintsius;Jacob Witte & Judith Kintsius;;;Rotterdam;;;;;;;;;;;;;;;;;;;;;;;
3442;STCN;1720.0;Jacob Verbeek junior;Lucia van Leuvenig;Jacob Verbeek junior & Lucia van Leuvenig;Barent Visscher;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
3523;STCN;1720.0;Simon van Leeuwarden;Agneta Hancock;Simon van Leeuwarden & Agneta Hancock;Gijsbert de (wed) Groot;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
3580;STCN;1720.0;Johan van der Wigt;Johanna van Spuyenburgh;Johan van der Wigt & Johanna van Spuyenburgh;Hermanus Ackerman;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
3724;STCN;1720.0;Pieter Mayden;Elizabeth Seevenhuysen;Pieter Mayden & Elizabeth Seevenhuysen;Johannes van Oosterwyk;Amsterdam;;Joannes  Oosterwyk;;;;;;;;;;;;;;;;;;;;;;Joannes  Oosterwyk
3742;STCN;1720.0;Henrik van Halmael;Cathrina van Boorn;Henrik van Halmael & Cathrina van Boorn;Johannes van Oosterwyk;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
3881;STCN;1720.0;Wilhelmus van Eenhoorn;Magdalena van Oort;Wilhelmus van Eenhoorn & Magdalena van Oort;;;;Frans van Oort;;;;;;;;;;;;;;;;;;;;;;Frans van Oort
16;KB;1721.0;Pieter van Schagen;Maria Couck;Pieter van Schagen & Maria Couck;Johannes van Oosterwyk;Amsterdam;Amsterdam;Willem van Ranouw;Jan Baptista Wellekens;Johannes van Oosterwyk;;;;;;;;;;;;;;;;;;;;Willem van Ranouw, Jan Baptista Wellekens, Johannes van Oosterwyk
18;KB;1721.0;Christoffel Castricum;Anna Beekman;Christoffel Castricum & Anna Beekman;Andries (wed) Castricum;Amsterdam;Rotterdam;;;;;;;;;;;;;;;;;;;;;;;
29;KB;1721.0;Malachias de La Vigne;Maria Okhuysen;Malachias de La Vigne & Maria Okhuysen;Willem Barents;Amsterdam;Amsterdam;M. van Os;J.S. Rosthuysen;B. Spanseerder;George Wetstein;Pieter Langendyk;;;;;;;;;;;;;;;;;;M. van Os, J.S. Rosthuysen, B. Spanseerder, George Wetstein, Pieter Langendyk
32;KB;1721.0;Abraham van Limburg;Anna Giffenig;Abraham van Limburg & Anna Giffenig;;;Leiden;J. van Tol;Hendrik Fouree;David Giffenig;Joannes Hancock;Johannes Hooykaas;;;;;;;;;;;;;;;;;;J. van Tol, Hendrik Fouree, David Giffenig, Joannes Hancock, Johannes Hooykaas
45;KB;1721.0;Franciscus Dankers;Cornelia Robol;Franciscus Dankers & Cornelia Robol;;;Amsterdam;A.S.;;;;;;;;;;;;;;;;;;;;;;A.S.
46;KB;1721.0;Adriaen Maten;Maria van Vollenhoven;Adriaen Maten & Maria van Vollenhoven;Lescailje;Amsterdam;Amsterdam;Jan Baptista Wellekens;Claas Bruin;Balthazar Huydecoper;Pieter Vlaming;A.W.;J.V.M.;;;;;;;;;;;;;;;;;Jan Baptista Wellekens, Claas Bruin, Balthazar Huydecoper, Pieter Vlaming, A.W., J.V.M.
143;KB;1721.0;Petrus van Heimenberg;Margareta Brandenburg;Petrus van Heimenberg & Margareta Brandenburg;Casparus (wed) Cotius;Kampen;;Casparus Henricus van Heimenberg;;;;;;;;;;;;;;;;;;;;;;Casparus Henricus van Heimenberg
148;KB;1721.0;Pieter Mes;Maria Ophoven;Pieter Mes & Maria Ophoven;Pieter Buyster;Delft;;Wilhelmus van Ysselstein;;;;;;;;;;;;;;;;;;;;;;Wilhelmus van Ysselstein
363;KB;1721.0;Isaac Elzevier;Wilhelmina Adriana van Hogendorp;Isaac Elzevier & Wilhelmina Adriana van Hogendorp;Johan van Doesburg;Rotterdam;Amsterdam;Joannes Jens;Johannes de Bey;;;;;;;;;;;;;;;;;;;;;Joannes Jens, Johannes de Bey
394;KB;1721.0;Christoph Vilters;Anna Maria Cheevs;Christoph Vilters & Anna Maria Cheevs;;;Amsterdam;J.A. J.S. Vilters;;;;;;;;;;;;;;;;;;;;;;J.A. J.S. Vilters
