id;label;function;year;place_print
156;Arnoud van Haalen & Margareta Rooleeuw;Bruidspaar;1699.0;
157;Leonard de Vogel & Johanna van Hoek;Bruidspaar;1699.0;
158;Lieve Geelvinck (1676-1743) & Agatha Theodora van Bambeeck;Bruidspaar;1699.0;
159;Jacob van Royen;Drukker;;Amsterdam
160;Willem van der Hoeven;Auteur;;
161;Adriaan Spinniker & Sara Verduyn;Bruidspaar;1699.0;
162;Jacob de Veer;Drukker;;Amsterdam
163;Cornelis Sweerts & Helena van Weerden;Bruidspaar;1699.0;
164;Nicolaas van Rijp & Jacoba van Emmenes;Bruidspaar;1700.0;
165;Hendrik Snakenburg;Auteur;;
166;Herman Lufneu & Anna Amsincq;Bruidspaar;1702.0;
167;Barent Bos;Drukker;;Rotterdam
168;Willem Rabus;Auteur;;
169;Gerhart Franken & Katharyne Adelheit Moonen;Bruidspaar;1702.0;
170;Arnoldus Curtenius;Drukker;;Deventer
171;Petrus Francius;Auteur;;
172;Janus Broukhusius;Auteur;;
173;H. van Wullen;Auteur;;
174;J. Pastorius;Auteur;;
175;Lucas Rotgans;Auteur;;
176;François Halma;Auteur, Drukker;;
177;L. van Olst;Auteur;;
178;Arnold Moonen;Auteur;;
179;Claas Cornelisz Calff & Aafje Pieters;Bruidspaar;1702.0;
180;Joannes Oosterwyk;Auteur, Drukker;;Amsterdam
181;Govard Bidloo & Alexandrina Schatter;Bruidspaar;1702.0;
182;Andreas Blankert & Constantia van Schooneveld;Bruidspaar;1703.0;
183;Lodewyk de Veer & Hester van Halmael;Bruidspaar;1703.0;
184;G. van Halmael;Auteur;;
185;Hendrik van Halmael;Auteur;;
186;Jan de Regt;Auteur;;
187;Arnold Boonen & Anna Maria Matthaeus;Bruidspaar;1703.0;
188;Gysbert Ostens & Elizabeth de Paauw;Bruidspaar;1704.0;
189;Jan van Damme;Drukker;;Leiden
190;J.Cz Bremer;Auteur;;
191;David Amoury & Maria de Flines;Bruidspaar;1705.0;
192;Ludolph Smids;Auteur;;
193;Cornelis Sweerts;Auteur;;
194;Jan Goeree;Auteur;;
195;Mattheus Molshoek Bakker & Anna Bicker;Bruidspaar;1705.0;
196;Hieronimus van Heemskerk & Sophia van Rijp;Bruidspaar;1705.0;
197;Pieter Spranger & Alida Schippers;Bruidspaar;1705.0;
198;Fredrik Helm;Drukker;;Amsterdam
199;Hero Mooy & Catharina de Vlieger;Bruidspaar;1706.0;
200;L. Kramp;Auteur;;
201;Hendrik van de Gaete;Auteur, Drukker;;
202;Lambert van den Bosch;Auteur;;
203;Pieter Decker & Johanna de Nys;Bruidspaar;1706.0;
204;Geldorp;Drukker;;Haarlem
205;Jan Geldorp;Auteur;;
206;Pieter Vlaming & Wynanda Calkoen;Bruidspaar;1706.0;
207;Matthaeus Brouërius van Nidek;Auteur;;
208;Elie A.W. Des Pommare;Auteur;;
209;Jacob Voordaag;Auteur;;
210;Hermanus van den Burg;Auteur;;
211;Hendrik van Vreede & Adriana Hennebo;Bruidspaar;1706.0;
212;Hendrik van de Goese;Auteur;;
213;David van Gent & Johanna de Haan;Bruidspaar;1706.0;
214;Jan Baptista Wellekens;Auteur;;
215;Isaac Snep & Cornelia Slagregen;Bruidspaar;1706.0;
216;Kornelis Boon van Engelant;Auteur;;
217;Jacob van Lennep & Susanna Rutgers;Bruidspaar;1706.0;
218;Ysbrand Vincent;Auteur;;
219;Jean de Wolf & Margareta Verhammen;Bruidspaar;1706.0;
220;J. Roeters;Auteur;;
221;C. van Reyneveld;Auteur;;
222;Aarnoud Stokkelaar & Belida Kleinschol;Bruidspaar;1706.0;
223;Claas Bruin;Auteur;;
224;Gerard Muyser & Sara Muyser;Bruidspaar;1706.0;
225;Pieter Vlaming;Auteur;;
226;Pierre A.W. Marin;Auteur;;
227;I.G.W.F.M.;Auteur;;
228;Willem Crucius & Alida Gronovius;Bruidspaar;1706.0;
229;Petrus Burman;Auteur;;
230;Joan Jacob Mauricius;Auteur;;
231;Adriaan Pars;Auteur;;
232;Siward Haverkamp;Auteur;;
233;Joannes Fredericus Gronovius;Auteur;;
234;Isaac de Visscher;Auteur;;
235;Cornelis Corn Calff & Grietje Claase Bloem;Bruidspaar;1707.0;
236;Jacob van Lennep & Cornelia de Veer;Bruidspaar;1707.0;
237;Hester van Halmael;Auteur;;
238;J.D.W.;Auteur;;
239;Willem Vlaming & Katharina Theodora Beek;Bruidspaar;1707.0;
240;A.W.;Auteur;;
241;Daniel Willink;Auteur;;
242;Dirk Makreel & Margareta van Veen;Bruidspaar;1707.0;
