Felix van Sambix;1
Feyken Rijp;1
Willem van Sligt;1
Passchier van II Wesbusch;1
Nicolaas van Vucht;1
Nicolaas ten Hoorn;1
Nicolaas Smit;1
Franco Sas;1
Frans Hardomans;1
Wor & Onder de Linden;1
Nicolaas Lydelof;1
Engelbrecht I Boucquet;1
Paulus (erven) Matthijsz;1
Pieter de Vries;1
Dominicus Josephus de Haan;1
Abraham II Rubert;1
Pieter Baars;1
Philippus Losel;1
Dirck Schouten;1
Dirk Rampen;1
Willem de Klerk;1
Petrus Poppius;1
Dominicus van der Stichel;1
Paulus (wed) Boekenes;1
Eelcke Symons Nauta;1
Egbert van der Smout;1
Willem van Bloemen;1
Petrus Lindenbergh;1
Paulus Vinck;1
Elizabeth Abrahams Wiaer;1
Abraham Boekholt;1
Pieter de Paaynaar;1
Abraham van Hoogenhuysen;1
Adrianus Brouwer;1
Stoffel Jansz Kortingh;1
Thomas Appels;1
Anthony de Winter;1
Anthony van Heusden;1
Anthony van Rijschooten;1
Antoine (erven) Schelte;1
Willem Boman;1
Suenonius Mandelgreen;1
Arent (wed) Rampen;1
Anthony Schoonhoven;1
Arent Gerritsz van den Heuvel;1
Arent Hennebo;1
Steven van Esveldt;1
Adriaan van Dyck;1
Steven Ledet;1
Aris Tolk;1
Willem Duim;1
Willem (wed) Clerck;1
Anthony Outgers;1
Pieter van (wed) Gilst;1
Alexander Jansz Lintman;1
Adrianus Bartius;1
Aernout Timmermans;1
Albert Evertsz Visscher;1
Wilhelmus Ryp;1
Albertina Elisabeth Du Tour;1
Albertus Fronten;1
Wilhelmus Heggers;1
Wigerus Wigeri;1
Thomas Berry;1
Andries (wed) Castricum;1
Verbeek;1
Andries Stanhoffius;1
Uldrick Cornelissz Honthorst;1
Timotheus ten Hoorn;1
Thomas van (erven) Wiering;1
Thomas Fonteyn;1
Arnold van den Eynden;1
Adriaan Voorstad;1
Seerp Schotanus;1
Carel Allard;1
Adam Meerkamp;1
Regnerus Smetius;1
Abram Witbols;1
Poppius & Stam;1
Abraham van den Rade;1
