0;Datum;Jaar;Bruidegom;Bruid;Drukker;Plaats;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22
1694;1734-09-22;1734;Jacob Cobbe;Margareta Elizabeth van Omme;Jan Roman;Amsterdam;Petrus Cobbe ;Elizabeth Cobbe ;Catharina Cobbe ;Carel Bouman ;Jacob Cobbe ;;;;;;;;;;;;;;;;;
1695;1703-04-24;1703;Joost Verstraaten;Sara Geus;Jan Roman;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1696;1703-05-22;1703;Hendrik Reipers;Jannetje Bos;Jan Roman;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1697;1725-06-03;1725;Adriaan de Kramer;Alida Buytendyk;Jan Roman;Amsterdam;Adriaan de Kramer ;H. Ulhoorn ;Willem A.B. Onstenk ;Abraham Titsingh ;Harmanus Meyer ;Jan Arnold van Orsoy ;Jacobus van der Strengh ;J. Baarenbroek ;;;;;;;;;;;;;;
1698;1725-10-29;1725;Jacob Jansz Marcus;Margareta Seba;Jan Roman;Amsterdam;Joannes J.D.M. Sluyter ;Adolph Sluyter ;;;;;;;;;;;;;;;;;;;;
1699;1729-07-02;1729;Arent Oterlyk;Helena van Neercassel;Jan Roman;Beverwijk;Cornelis N.V.S. Bouman ;Carel Bouman ;Arnold Bouman ;;;;;;;;;;;;;;;;;;;
1700;1714-03-20;1714;Gerret Byl;Elisabeth Sluys;Jan Roman;Haarlem;;;;;;;;;;;;;;;;;;;;;;
1701;1730-04-18;1730;Gualterus Petrus Boudaan;Katharina Margareta Romswinckel;Jan Roman;Amsterdam;S.A.J.B. N.R.S.A.;Joannes Sluyter ;Adolph Sluyter ;Hendrik Fouree ;;;;;;;;;;;;;;;;;;
1702;1670-08-19;1670;Pieter de Vinder;Dorothea Heykoop;Johannes Roovers;Haarlem;Johannes van Toledo ;Adrianus Severinus van Adelhoorn ;;Wilhelmus Bernardusz Wyngaerden ;;;;;;;;;;;;;;;;;;
1703;1729-01-08;1729;Dirk Bruykverstand;Giertje Sleght;Johannes Rotterdam;Rotterdam;Nicolaas Bruykverstand ;Pieter Bruykverstand ;I. Sleght ;Johannes Rotterdam ;;;;;;;;;;;;;;;;;;
1704;1729-11-29;1729;Pieter Kooy;Wendelina Roos;Johannes Rotterdam;Rotterdam;S. Roos ;P. Roos ;;;;;;;;;;;;;;;;;;;;
1705;1730-09-10;1730;Adriaan Kok;Johanna Boddens;Johannes Rotterdam;Den Haag;Barent Kok ;Isaak Boddens ;Gerrit Boddens ;Johannes Rotterdam ; ;;;;;;;;;;;;;;;;;
1706;1730-10-15;1730;Bernardus van Gerrevink;Maria Lybreghts;Johannes Rotterdam;Rotterdam;Arnold Willis ;Johannes J.H. Ratelband ;Johannes 't Lam ;Johannes Rotterdam ; ;;;;;;;;;;;;;;;;;
1707;1706-03-30;1706;Jan Muyser;Geertruyd Moll;Jacob van Royen;Rotterdam;Ludolph Smids ;Pieter Vlaming ;;;;;;;;;;;;;;;;;;;;
1708;1706-04-20;1706;David de Neufville;Agneta de Neufville;Jacob van Royen;Amsterdam;Lambertus Feyten ;Ludolph Smids ;Benedictus van Ryneveld ;Pieter de Wolf ;;;;;;;;;;;;;;;;;;
1709;1699-03-31;1699;Lieve Geelvinck (1676-1743);Agatha Theodora van Bambeeck;Jacob van Royen;Amsterdam;Willem van der Hoeven ;;;;;;;;;;;;;;;;;;;;;
1710;1706-12-12;1706;Jean de Wolf;Margareta Verhammen;Jacob van Royen;Dordrecht;Ludolph Smids ;J. Roeters ;C. van Reyneveld ;Willem van der Hoeven ;Hendrik van de Gaete ;;;;;;; ;;;;;;;;;;
1711;1707-02-17;1707;Christiaan van Boneval;Agneta van Wachtendonk;Jacob van Royen;Amsterdam;Jacob van Royen ;;;;;;;;;;;;;;;;;;;;;
1712;1711-04-06;1711;Jacob Aarnoudsz van Lennep;Petronella de Neufville;Jacob van Royen;Amsterdam;Ludolph Smids ;Gerrit Fortgens ;Jan Baptista Wellekens ;Daniel Rutgers ;Claas Bruin ;Arnold Houbraken ;Gilbert de Flines ;;;; ; ;;;;;;;;;;
1713;1731-07-27;1731;David Slyk;Maria Facett;David Ruarus;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1714;1728-03-14;1728;Anthony Geverink;Luitje Nieuboer;David Ruarus;Amsterdam;David Ruarus ;;;;;;;;;;;;;;;;;;;;;
1715;1730-08-27;1730;Hendrik de Wilde;Catharina Maria Beerents;David Ruarus;;Hermanus Beerents ;;;;;;;;;;;;;;;;;;;;;
1716;1731-02-25;1731;Jan Gerrard de Mareez;Anna Thyssen;David Ruarus;Amsterdam;David Ruarus ;Jacobus van der Strengh ;Lambert van den Broek ;;;;;;;;;;;;;;;;;;;
1717;1731-10-30;1731;Johan Graafland (1697-1767);Catharina van Aferen;David Ruarus;Utrecht;Jan Balde ;Hendrik Snakenburg ;;;;;;;;;;;;;;;;;;;;
1718;1731-11-02;1731;Jacob Terwen;Maria van Langeren;David Ruarus;Rotterdam;T. van Langeren ;E. van der Burg ;W.D. Meyer ;J. Spanjert ;David Ruarus ;Albertus de Marolles ;;;;; ; ;;;;;;;;;;
1719;1731-12-18;1731;Karel Wittebol;Maria Weijerbroek;David Ruarus;Amsterdam;Jacob Michielsz Elias ;;;;;;;;;;;;;;;;;;;;;
1720;1731-12-18;1731;Karel Wittebol;Maria Weijerbroek;David Ruarus;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1721;1732-08-26;1732;Jan Jacobsz van der Valk;Magdalena Cornelia van Houten;David Ruarus;;Adrianus Jacobus van der Valk ;D. van der Valk ;David Ruarus ;;;;;;;;;;;;;;;;;;;
1722;1754-12-09;1754;Johan Andriessen;Christina Meusel;Abraham II Rubert;Amsterdam;Jakob Johan Andriessen ;Jacob (Petrus Matheusz) Gargon ;Jakobus Andriessen de Waal ;Jakobus Andriessen ;Andreas Andriessen (1733-1800);;;;;;; ;;;;;;;;;;
1723;1699-02-03;1699;Cornelis van der (1670-1719) Pot;Catharina van Broekhuysen;Izaak van Ruynen;Amsterdam;Wilhelmus Lomannus ;Cornelius Thoen ;;;;;;;;;;;;;;;;;;;;
1724;1734-05-05;1734;Gerret Dinkelaag;Engeltje Adriaans;Wilhelmus Ryp;Gouda;M. Dinkelaag ;B. Dinkelaag ;;;;;;;;;;;;;;;;;;;;
1725;1683-01-03;1683;David Broers;Christina Spronck;Gillis Joosten Saeghman;Den Haag;Gerrit Fortgens ;M. Broers ;;;;;;;;;;;;;;;;;;;;
1726;1683-02-07;1683;Michiel van Gesser;Catrina van der Styl;Gillis Joosten Saeghman;;Isaac van der Styl ;;;;;;;;;;;;;;;;;;;;;
1727;1617-05-15;1617;Willem Harmans;Anneken Gerrits;Felix van Sambix;Winschoten;Gerrit Martens ;;;;;;;;;;;;;;;;;;;;;
1728;;;Gerard Laakeman;Elisabeth Schouten;Pieter Sceperus;Rotterdam;;;;;;;;;;;;;;;;;;;;;;
1729;1700-06-06;1700;Florentius Douw;Christina Schouten;Pieter Sceperus;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1730;1725-11-28;1725;Claas van Veen;Maria Bodisco;Marten Schagen;Amsterdam;Pieter van de Walle ;;;;;;;;;;;;;;;;;;;;;
1731;1724-07-09;1724;Jan Adriaensz Blok;Katharina van Raad;Marten Schagen;Amsterdam;Kornelis Willemsz Westerbaen ;Marten Schagen ;R. Blok ;A. Adriaensz Blok ;P.V.G.;Barent Kok ;Eduard van Nikkelen ;Claas Bruin ;Petrus Smids ;;;;;;;;;;;;;
1732;1699-02-17;1699;Johannes Visscher;Kunira van Hoek;Antoine (erven) Schelte;;Laurens Bake van Wulverhorst ;;;;;;;;;;;;;;;;;;;;;
1733;1751-01-26;1751;Willem Smits;Jacoba Scheltus;Scheltus;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1734;1760-10-07;1760;Isaac II Scheltus;Maria Elizabeth de Rasiere;Scheltus;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1735;1732-04-27;1732;Roelof Roelvinck;Dorothea Pekstok;Johannes Schets;Amsterdam;J.O.D. G.A.;;;;;;;;;;;;;;;;;;;;;
1736;1658-05-30;1658;Hendrick d' Acquet;Sophia Lieftingh;Anthony Schoonhoven;Amsterdam;Stephanus Marchant ;Joachim Oudaan ;A.V. Mast ;;;;;;;;;;;;;;;;;;;
1737;1750-04-28;1750;Coenraad Smitt;Philis Hachmeester;Jacob Cornelis Schoots van Capelle;Amsterdam;F.L.W. Grand ;Joan Willem Hachmeester ;Jurgen Hachmeester ;Hendrik Hoffham ;J.A. Sultz ;;;;;;;;;;;;;;;;;
1738;1757-09-20;1757;Joan Bernhard Schömann;Christina Elisabeth van der Halle;Jacob Cornelis Schoots van Capelle;;Elias Dreyssigmarck Weyland ;Herman Christiaan Langreuter ;Joachim Heinrich Hagemeister ;Libertus Munnikhuysen ;Lambertus van de Velde ;;;;;;;;;;;;;;;;;
1739;1724-03-25;1724;Klaas Hinlopen;Vroukje Braam;Frederik Schotsman;Amsterdam;Johannes Duym ;;;;;;;;;;;;;;;;;;;;;
1740;1694-10-07;1694;Pieter van der Meulen;Maria de Hennion;Anthony Schouten;Sloten;Isaac Ubingh ;;;;;;;;;;;;;;;;;;;;;
1741;1702-08-07;1702;François van Bochoven;Hendrina Christina de Lantman;Anthony Schouten;Den Haag;Johannes d' Outrein ;;;;;;;;;;;;;;;;;;;;;
1742;1715-05-12;1715;Adam Schouten;Sara La Mer;Floris Schouten;Middelburg;Floris Schouten ;;;;;;;;;;;;;;;;;;;;;
1743;1718-05-08;1718;Abraham van Poot;Sara van Velthuysen;Floris Schouten;Middelburg;Joannes Oosterdyk ;;;;;;;;;;;;;;;;;;;;;
1744;1759-10-09;1759;Johan Reinhart Kutsch;Elisabeth Mulier;Petrus Schouten;Middelburg;Johanna Mulier ;Gerard Mulier ;F. Kutsch ;Melchior Justus van Effen ;Hendrik Brouwer ;;;;;;;;;;;;;;;;;
1745;1703-01-28;1703;Adolph Schellinger;Anna Hoogwout;Petrus Schouten;Amsterdam;B. Goorn ;;;;;;;;;;;;;;;;;;;;;
1746;1723-10-06;1723;Hendrik Koornhuys;Neeltje van Hardenberg;Salomon Schouten;Amsterdam;Salomon Schouten ;Gerrit Lem ;;;;;;;;;;;;;;;;;;;;
1747;1723-12-12;1723;Gerrit Lem;Jacoba van Hardenberg;Salomon Schouten;;Hendrik Koornhuys ;;;;;;;;;;;;;;;;;;;;;
1748;1726-03-19;1726;Bartholomeus Pietersz Bruynvis;Maria van der Meulen;Salomon Schouten;Amsterdam;I. I.V.H. Bruynvis ;G. van der Gugten ;;;;;;;;;;;;;;;;;;;;
1749;1727-05-27;1727;Gerard Hoffham;Catharina Tideman;Salomon Schouten;;Hendrik Hoffham ;;;;;;;;;;;;;;;;;;;;;
1750;1738-09-23;1738;Jeremias van der Meer;Maria Johanna Munter;Salomon Schouten;Amsterdam;Petrus d' Orville ;;;;;;;;;;;;;;;;;;;;;
1751;1751-06-22;1751;Jan Six (1730-1779);Susanna Catharina Bors van Waveren;Salomon Schouten;Amsterdam;Jan Pieter Theodoor Huydecoper ;Joan Andriesz Calkoen ;François Lentfrinck ;Jan van Dyk ;Hermanus van den Burg ;Johannes Meyer ;Pieter Langendyk ;;;;;;;;;;;;;;;
1752;1756-02-24;1756;Lieve Geelvinck (1730-1757);Catharina Elisabeth Hasselaer;Salomon Schouten;Rotterdam;Petrus Burman ;Otto Arntzenius ;Joan Geelvinck ;J.E. de Petersen ;Jan Jacob Ojers ;François Lentfrinck ;W. van Lingen ;Hendrik Post ;Mattheus Temminck;Johannes Meyer ;;;;;;;;;;;;
1753;1703-06-12;1703;Cornelis Hartwyk;Alyda Oosterhuysen;Sebastianus (wed) Schouten;Capelle a/d IJssel;P. de Vogel ;;;;;;;;;;;;;;;;;;;;;
1754;1728-11-09;1728;Jacobus Willemsen;Anna Catharina Matthaeus;Michiel Schryver;Rotterdam;Johannes Nicolaas Treytel ;Jan Wybo ;;;;;;;;;;;;;;;;;;;;
1755;1729-05-26;1729;Pieter de Coup;Lucea Anna Boudens;Michiel Schryver;Rotterdam;Jan Kauwelier ;;;;;;;;;;;;;;;;;;;;;
1756;1729-09-29;1729;Martinus Jacobus Huysman;Johanna Maria van Citters;Michiel Schryver;Rotterdam;Johannes Nicolaas Treytel ;;;;;;;;;;;;;;;;;;;;;
1757;1667-09-25;1667;Johannes Schuler;Johanna Swaan;Cornelis Seldenslach;Leiden;A. van der Lith ;Wolraad-Philip de La Cave ;;;;;;;;;;;;;;;;;;;;
1758;;;Jan van der Haeghen;Margerita Hidding;Pieter von Selov;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1759;1648-08-13;1648;Aernout van der Haeghen;Pieternelle Hidding;Pieter von Selov;Edam;;;;;;;;;;;;;;;;;;;;;;
1760;1725-03-04;1725;Jan van der Schep;Sibilla Honthorst;Johannes van Septeren;Hoorn;Jan Bronlandt ;Cornelis van der Schep ;;;;;;;;;;;;;;;;;;;;
1761;1726-05-19;1726;Abraham Twartt;Anna Langeraat;Johannes van Septeren;Leiden;Jacobus van der Strengh ;Gijsbert Tysens ;Johannes van Septeren ;; ;;;;;;;;;;;;;;;;;
1762;1636-07-01;1636;Ysbrant Cornelisz van Heyningen;Eva Warnaerts;Jacob Thomasz Sergeant;Vlissingen;;;;;;;;;;;;;;;;;;;;;;
1763;1671-04-08;1671;Matthias van Tol;Maria Caprarius;Adrianus Severinus van Adelhoorn;Amsterdam;Johannes van Toledo ;;Adrianus Severinus van Adelhoorn ;;;;;;;;;;;;;;;;;;;
1764;1740-12-26;1740;Antoon Herman Toppinga;Anna Katharina Theodora van Westerbeek;Jacob II Sipkes;;Bernhardus Alting ;Michiel van Bolhuis ;;;;;;;;;;;;;;;;;;;;
1765;1736-04-16;1736;Henricus Ketelanus;Aletta Sluyter;Adriaan Slaats;Amsterdam;Joan Helmans ;;;;;;;;;;;;;;;;;;;;;
1766;1691-03-05;1691;Caspar Brandt;Agatha Paets;Gerrit Slaats;Amsterdam;Petrus Francius ;Petrus Bos ;Cornelius van Arckel ;Cornelis van Alkemade ;;;;;;;;;;;;;;;;;;
1767;1695-05-15;1695;Jacob van Beek;Gouda van Gent;Gerrit Slaats;Amsterdam;J. van Groenveld ;;;;;;;;;;;;;;;;;;;;;
1768;1718-05-17;1718;Johannes Cramer;Adriana Margareta van Asperen;Gerrit (wed) Slaats;Amsterdam;Adolph van Asperen ;Laurens de Haan ;Hendrik Tadee ;Petrus de Wit ;J. van Asperen ;;;; ; ;;;;;;;;;;;;
1769;1728-05-23;1728;Nanning Kromhout;Cornelia Chevyn;Willem van Sligt;Haarlem;Adriaan de Kramer ;Reinoud Cramer ;Eduard van Harlingen ;;;;;;;;;;;;;;;;;;;
1770;1735-01-05;1735;Joan Bouman;Maria Roosen;Hendrik Sligtenhorst;Haarlem;Joan Bouman (Jr) ;Alida J.V. Reessen ;Adriaan de Kramer ;Hendrik Kappenberg ;J.T.;Jan Brak ;Hendrik Sligtenhorst ; H.L.;; ;;;;;;;;;;;;
1771;1740-09-13;1740;Jan Jacobusz de Wit;Helena Overvest;Hendrik Sligtenhorst;Haarlem;Hendrik Sligtenhorst ;Leonard Overvest ;Jacobus Jansz Bosman ;J.J. Kingma ;;;;;;;;;;;;;;;;;;
1772;1746-05-29;1746;Willem Slotboom;Johanna Verhoeve;Hendrik Sligtenhorst;Haarlem;Hendrik Sligtenhorst ;Abraham Rutgers ;Pieter Verhoeve ;Johannes Rutgers ;;;;;;;;;;;;;;;;;;
1773;1747-09-12;1747;Daniel (Jr) Varlet;Maria Du Mortier;Hendrik Sligtenhorst;Amsterdam;Willem van der Varlet Keere ;Jacob Hulk ;Arent van der Keere ;H. van der Keere ;J.J. Varlet ;;;;;;;;;;;;;;;;;
1774;1749-03-25;1749;Lucas Bardon;Geertruyd Smit;Hendrik Sligtenhorst;Heemstede;Adam Bardon ;Samuel van Breda ;Willem Sobbe ;;;;;;;;;;;;;;;;;;;
1775;1750-10-29;1750;Joannes de Haan;Ida Verhoeve;Hendrik Sligtenhorst;Haarlem;;;;;;;;;;;;;;;;;;;;;;
1776;1755-04-22;1755;George Wilhem Nieman;Elisabeth Duisenberg;Hendrik Sligtenhorst;Amsterdam;Jan Hendrik Duisenberg ;W. Duisenberg ;Hendrik Sligtenhorst ;;;;;;;;;;;;;;;;;;;
1777;1757-12-13;1757;Pieter Willem van Lankeren;Elisabeth Bartelsman;Hendrik Sligtenhorst;Amsterdam;Jan Hendriksz Luden ;Jacob Gefken ;Dirk Elders ;Hendrik Luden ;Roelof Wouters ;;;;;;;;;;;;;;;;;
1778;1633-03-29;1633;Bartholomeus Ubelman;Johanna Bevers;Pieter Jansz Slijp;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1779;1633-05-17;1633;Elias Provoost;Agnietje Gillis;Pieter Jansz Slijp;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1780;1668-10-27;1668;Johannes Pieck;Aletta Batava;Regnerus Smetius;Vreeland;Johannes Smetius ;;;;;;;;;;;;;;;;;;;;;
1781;1725-04-29;1725;Simon Linthorst;Susanna Abels;Hendrik Smets;Amsterdam;Pieter Linthorst ;Simon Linthorst ;Susanna Abels ;Susanna Geertruy Linthorst ;Arent Linthorst ;Suzanna Le Grand ;Geertruy Linthorst ;Jacobus Linthorst ;Dina Koolhaas ;;;;;;;;;;;;;
1782;1733-05-13;1733;Jacob van Oosterwyk;Anna Bruyn;Hendrik Smets;Haarlem;Jan Geldorp ;Jacob Viruly ;Lucas Pater ;Ysbrant George Bruyn ;Jacobus van der Strengh ;Eduard Sennepart ;Harmen Angel ;Lambert van den Broek ;;;;;;;;;;;;;;
1783;1725-07-08;1725;Jan Jacobsz Marcus;Anna van der Nolk;Hendrik Smets;Haarlem;Hendrik Smets ;Casparus Henricus van Heimenberg ;Pieter van der Nolk ;;;;;;;;;;;;;;;;;;;
1784;1743-06-25;1743;Gerardus II Borstius;Susanna van Thiel;Hendrik Smets;Haarlem;Hendrik Smets ;;;;;;;;;;;;;;;;;;;;;
1785;1707-06-28;1707;Gerrit Jz Backer;Johanna Backer;Johannes Smets;Haarlem;;;;;;;;;;;;;;;;;;;;;;
1786;1708-05-22;1708;Rodrigo Craanen;Gerarda Bosch;Johannes Smets;Amsterdam;Jacobus Dop ;;;;;;;;;;;;;;;;;;;;;
1787;1715-06-23;1715;Abraham de Vries;Leyntje van den Ende;Johannes Smets;Amsterdam;J.Wz Dop ;;;;;;;;;;;;;;;;;;;;;
1788;1716-08-09;1716;Gerardus Steenhuysen;Jannetje de Vries;Johannes Smets;Amsterdam;J.Wz Dop ;;;;;;;;;;;;;;;;;;;;;
1789;1719-09-24;1719;Abraham de Ridder;Johanna Magdalena van Dyk;Johannes Smets;Amsterdam;Simon de Ridder ;Gerrit van Dulken ;Jan Verhoeve ;Willem van der Hoeven ;;;;;;;;;;;;;;;;;;
1790;1725-02-05;1725;Jan van Heemskerk;Catharina Du Sart;Marten Smets;Haarlem;Izaak Du Sart ;Jan Sart ;R. Kiliaansz van Rensselaar ;Robert Hennebo ;;;;;;;;;;;;;;;;;;
1791;1657-08-08;1657;Johan Steengracht;Barbara Veth;Henrick Smidt;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1792;1700-02-16;1700;Johannis van Schalkwyk;Sophia Vergeer;Nicolaas Smit;Amsterdam;Johannes Domburg ;;;;;;;;;;;;;;;;;;;;;
1793;1760-04-15;1760;Canzius Onderdewyngaart;Jacoba van der Kaag;Egbert van der Smout;;Kornelis van der Sleyden ;Bernardus Nordingh Doitsma ;;Wilhelmus van Ysselstein ;;;;;;;;;;;;;;;;;;
1794;1717-10-14;1717;Matthys van de Put;Hester Elisabeth Klocker;Jan Soer;Rotterdam;Wernerus Köhne ;J.M. Stochius ;K. van de Put ;;;;;;;;;;;;;;;;;;;
1795;1703-04-08;1703;Gerard Kuyken;Femmilia van Leuvenig;Engelbertus Solmans;Amsterdam;Daniel Willink ;Gerrit Fortgens ;;;;;;;;;;;;;;;;;;;;
1796;1703-12-06;1703;Anthonie van Rensselaar;Bartha Pekstok;Engelbertus Solmans;Rotterdam;;;;;;;;;;;;;;;;;;;;;;
1797;1704-02-07;1704;Kiliaan van Rensselaar;Sara Maria Boekholt;Engelbertus Solmans;Rotterdam;Adriaan Oets ;;;;;;;;;;;;;;;;;;;;;
1798;1706-09-02;1706;Gerardus van der Graaf;Geertruida Mortier;Engelbertus Solmans;Haarlem;Petrus Iz Mortier ;N. van der Graaf ;;;;;;;;;;;;;;;;;;;;
1799;1719-09-17;1719;Jan Bent;Aaltje Schellinger;Pieter Jacobsz Spaan;Amsterdam;Claas t Lam ;;;;;;;;;;;;;;;;;;;;;
1800;1753-01-21;1753;Paulus Chevallier;Margareta Geertruid Alberthoma;Hajo Spandaw;Den Haag;Robertus Alberthoma ;;;;;;;;;;;;;;;;;;;;;
1801;1758-04-23;1758;Ewald Hollebeek;Anna Maria Gerdes;Hajo Spandaw;Utrecht;Lucas Trip ;Ahazueer van den Berg ;Eberhard Heineken ;;;;;;;;;;;;;;;;;;;
1802;1750-09-06;1750;Isaäk Reinder baron van Raesfelt;Clara Fejouna de Sytzema barones van Bellingeweer;Jurjen Spandaw;Leiden;Gerard Nicolaas Heerkens ;G. Houx de Gramant;; ;;;;;;;;;;;;;;;;;;
1803;1716-07-08;1716;Dirk Groenhout;Barta Maria Schepers;Jacob Spanjaert;Middelburg;Gerard Westerwyk ;;;;;;;;;;;;;;;;;;;;;
1804;1718-01-13;1718;Willem Schepers;Elizabet Christina van der Dussen;Jacob Spanjaert;Utrecht;Gerard J.V.M. Westerwyk ;;;;;;;;;;;;;;;;;;;;;
1805;1730-06-25;1730;Hendrik van der Maas;Anna Wolf;Jan Spanseerder;Utrecht;Claas Wolf van der Maas;;Jan Spanseerder ;;;;;;;;;;;;;;;;;;;
1806;1728-11-10;1728;Dirk Oudendyk;Anna Christina van Nuys;Jan Spanseerder;Leiden;Hermanus van den Burg ;;;;;;;;;;;;;;;;;;;;;
1807;1752-12-19;1752;François Issendorp;Catharina Elisabeth Muller;Pieter Spriet;Amsterdam;Henderik Muller ;Assuerus Issendorp ;Hendrik Issendorp ;H. Meulman ;Johannes Muller ;C.B.;;;;;;;;;;;;;;;;
1808;1758-06-19;1758;Rutger Muntz;Armarenta Aleida Couleman;Daniel van der Spyk;Haarlem;Gerrit David Jordens ;;;;;;;;;;;;;;;;;;;;;
1809;1630-04-28;1630;Hillebrant Hendricksz;Clara Willems Puytmans;Jan Fredericksz Stam;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1810;1630-06-16;1630;Guilielmus Henricides;Maria Johannis Sylvius;Jan Fredericksz Stam;Dordrecht;;;;;;;;;;;;;;;;;;;;;;
1811;1630-08-11;1630;Jacob Adriaensz;Cornelia Pietersd;Jan Fredericksz Stam;Haarlem;;;;;;;;;;;;;;;;;;;;;;
1812;1633-05-17;1633;Hendrick van Ruwenhoven;Engeltje Jacobs;Jan Fredericksz Stam;;;;;;;;;;;;;;;;;;;;;;;
1813;1644-10-11;1644;Gerard Coren;Margarita Dilburgh;Jan Fredericksz Stam;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1814;1643-10-06;1643;Jan Claesz de Wit;Anna Pieters de Frans;Willem Willemsz Stam;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1815;1755-06-08;1755;Floris van der Stam;Maria Geysen;Jan van Stendel;Amsterdam;Theodorus van der Stam ;Henricus van der Stam ;;;;;;;;;;;;;;;;;;;;
1816;1756-03-08;1756;Benjamin de Bruyn;Catharina Drolenvaux;Jan van Stendel;Amsterdam;L. Ryk ;Frans J.V.M. Ryk ;C. Wärner ;D. Ryk ;;;;;;;;;;;;;;;;;;
1817;1714-02-22;1714;Jan Hendrik Capelle;Anna Catharina Capoen;Sybrand Stepraad;Haarlem;Johanna Margaretha Moerbach ;Nicolaas Capelle ;;;;;;;;;;;;;;;;;;;;
1818;1717-03-18;1717;Hermanus van Santen;Anna Garengroot;Sybrand Stepraad;Haarlem;Gerardus Weyland ;George Wetstein ;;;;;;;;;;;;;;;;;;;;
1819;1668-04-10;1668;Willem van Nobelaer;Wilhelmina Snouckaert;Jan Willemsz van Sticht;Amsterdam;Johan van Paffenrode ;;;;;;;;;;;;;;;;;;;;;
1820;1663-04-24;1663;Jacobus Denys;Susanna de Bary;Jacob Stichter;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1821;1729-05-17;1729;Jan Hoos;Adriana van Coevenhoven;Hendrik Stockinck;Leiden;Hendrik Stockinck ;Jacob van Veen ;Pieter Slooff ;;;;;;;;;;;;;;;;;;;
1822;1730-10-17;1730;Adriaan van Jacobsz Ommering;Maria Louff;Hendrik Stockinck;Haarlem;Adriaan Jacobsz van Ommering ;Hendrik Stockinck ;Jan Jacobsz van Ommering ;Jacobus Jacobsz van Ommering ;Johannes Meyer ;Gijsbert Tysens ; ;;; ;;;;;;;;;;;;
1823;1735-04-17;1735;Jakob Appel;Marytje Peereboom;Isaac Stokmans;Amsterdam;Aegidius Stokmans ;;;;;;;;;;;;;;;;;;;;;
1824;1713-03-29;1713;Johan Duyvensz;Willemina Catarina Compostel;Hendrik van Straalen;Hoorn;Pieter B.D.Q.C. Straat ;;;;;;;;;;;;;;;;;;;;;
1825;1756-06-15;1756;Paulus Justus Determeyer Weslingh;Alida Maria Issendorp;Abraham (wed) Strander;Leiden;Cornelis A.J.V. Issendorp ;D. Jansz de Graaff ;;;;;;;;;;;;;;;;;;;;
1826;1757-02-03;1757;Jacobus Issendorp;Johanna Hartwyk;Abraham (wed Strander;Leiderdorp;Cornelis Determeyer Issendorp ;Paulus Justus Weslingh ;Alida Maria Issendorp ;Margareta Johanna Issendorp ;;;;;;;;;;;;;;;;;;
1827;1725-03-11;1725;Hermanus Smit;Engelina Maria Geelmuyden;Johannes I Strander;Leiderdorp;Jan Baptista Wellekens ;Jan Geldorp ;C. Smit ;Willem Boeken ;Johannes Smit ;;;;;;;;;;;;;;;;;
1828;1690-10-17;1690;Samuel Cabeljau;Anna Ruil;Johan van Stuyvesant;Baambrugge;Samuel van der Heiden ;;;;;;;;;;;;;;;;;;;;;
1829;1757-04-12;1757;Arnout de L'Hommel;Margaretha Ploos van Amstel;Dirk Swart;Amsterdam;Jacob Lutkeman ;Cornelis Nieuwoudt ;Joannes Rosiersz ;Jan de Vries ;;;;;;;;;;;;;;;;;;
1830;1760-01-22;1760;Joan Geelvinck;Maria Elisabeth Beck;Dirk Swart;Amsterdam;Jan Jacob Ojers ;;;;;;;;;;;;;;;;;;;;;
1831;1707-03-24;1707;Herman van Broyel;Maria Backer;Cornelis Sweerts;Amsterdam;Cornelis Sweerts ;;;;;;;;;;;;;;;;;;;;;
1832;1710-12-30;1710;Wilhem de Voogt;Anna Veen;Cornelis Sweerts;Amsterdam;Cornelis Sweerts ;;;;;;;;;;;;;;;;;;;;;
1833;1665-05-19;1665;Jacob de Clerck;Petronella Andries;Hieronymus Sweerts;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
1834;1675-06-23;1675;Diedrik Pater;Elizabeth van der Heeden;Hieronymus Sweerts;;Bartholomeus Abba ;;;;;;;;;;;;;;;;;;;;;
1835;1679-04-02;1679;Marten Du Floo;Elsje Rooleeuw;Hieronymus Sweerts;;Jan Copyn ;;;;;;;;;;;;;;;;;;;;;
