0;Datum;Jaar;Bruidegom;Bruid;Drukker;Plaats;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22
64;1704-06-03;1704;Gysbert Ostens;Elizabeth de Paauw;Jan van Damme;;J.Cz Bremer ;David van Hoogstraten ;Willem Rabus ;;;;;;;;;;;;;;;;;;;
65;1705-08-19;1705;Jacobus Poortugaal;Catharina Poortugaal;Barent Bos;Amsterdam;A.H.B.S.;;;;;;;;;;;;;;;;;;;;;
66;1691-08-21;1691;Johannes Sylvius;Sophia Luyken;Gerardus I Borstius;Amsterdam;Hendrik Sylvius ;L. Sylvius ;D. Sylvius ;J. Bloem ;;;;;;;;;;;;;;;;;;
67;1692-05-18;1692;Isaac Feitama;Katharina Rooleeuw;Boeteman;Leiden;Anthony Jansen ;Eduard Feitama ;;;;;;;;;;;;;;;;;;;;
68;1692-08-31;1692;Antoni Kops;Maria Vermande;Boeteman;Amsterdam;Anthony Jansen ;Dirk ten Kate ;Johannes Bredenburg ;A. Timmermans ;;;;;;;;;;;;;;;;;;
71;1713-04-04;1713;Pieter Franken;Geertruid Abrahams van den Bogaard;Jan van Damme;;C. van den Bogaard ;;;;;;;;;;;;;;;;;;;;;
75;1696-02-26;1696;Pieter Edens;Catharina Inses;Boeteman;Haarlem;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
76;1696-05-29;1696;Adriaan van Cattenburch;Maria Cornelia Sleght;Barent Bos;Rotterdam;Johannes Molinaeus ;P. van Pelt ;Petrus Bos ;Daniel Havart ;;;;;;;;;;;;;;;;;;
79;1725-08-07;1725;Aarnout Aarnoutsz Clignet;Katharina Gasparine van der Meulen;Jan van Damme;;David van Hoogstraten ;Philadelphus;C.H.;A.S.;;;;;;;;;;;;;;;;;;
80;1713-04-18;1713;Joan Babtista van der Wiellen;Alida Clara van Gerwen;Jan van Damme;Amsterdam;Johannes Schroder ;Felix de Klopper ;;;;;;;;;;;;;;;;;;;;
81;1713-05-15;1713;Dirck Gallis;Johanna Backer;Reinier Beukelman;Amsterdam;G.V.B.;;;;;;;;;;;;;;;;;;;;;
82;1695-12-25;1695;Abraham van Limburg;Margareta Blaaupot;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
84;1698-05-25;1698;Joan Pet;Maria Schevenhuysen;Pieter Baars;;A. Tegulaar ;Vroutje Pieters ;H. van der Vyver ;H.S.;;;;;;;;;;;;;;;;;;
85;1699-09-22;1699;Johannes Terwen;Christina Antwerpen;Jan van Damme;Nijmegen;D. Westerbaen ;;;;;;;;;;;;;;;;;;;;;
