id;label;function;year;place
139;Hermanus van (wed) Hulkenroy;Drukker;;Hazerswoude
140;Aegidius van Hoven;Auteur;;
141;Aäron van Hulkenroy;Auteur, Drukker;;
142;Abraham van Loon;Auteur;;
143;P.V.Az;Auteur;;
144;Jacobus van Pesch & Dina van der Smisse;Bruidspaar;1718;
145;Kornelis Willemsz Westerbaen;Auteur;;
146;Chr Simonides;Auteur;;
147;Malachias de La Vigne & Maria Okhuysen;Bruidspaar;1721;
148;M. van Os;Auteur;;
149;J.S. Rosthuysen;Auteur;;
150;B. Spanseerder;Auteur;;
151;George Wetstein;Auteur;;
152;Jan Hendriksz Waliën & Geertruit Eppenhof;Bruidspaar;1726;
153;H. van Lochem;Auteur;;
154;J. Waliën;Auteur;;
155;F.R.;Auteur;;
156;Juriaan Willink & Elizabet van Tongerlo;Bruidspaar;1715;
157;Roeland van Leuve;Auteur;;
158;Cornelis van Leuve;Auteur;;
159;Abraham van Limburg & Anna Giffenig;Bruidspaar;1721;
160;J. van Tol;Auteur;;
161;Hendrik Fouree;Auteur;;
162;David Giffenig;Auteur;;
163;Joannes Hancock;Auteur;;
164;Johannes Hooykaas;Auteur;;
165;Johannes van Steelant & Johanna Elisabeth de Geer;Bruidspaar;1727;
166;Reinier Boitet;Auteur, Drukker;;Leiden
167;Joannes van Dam;Auteur;;
168;Hubert Kornelisz Poot;Auteur, Drukker;;
169;Gerrit Onstenk & Maria van den Ende;Bruidspaar;1728;
170;Willem Onstenk;Auteur;;
171;Magdalena Mansveld;Auteur;;
172;Enoch Krook;Auteur;;
173;Nicolaas Simon van Winter & Johanna Muhl;Bruidspaar;1744;
174;Nicolaas Simon van Winter;Auteur;;
175;Agatha Maria Sena;Auteur;;
176;Elisabeth van Leeuwaarden;Auteur;;
177;Bernardus de Bosch;Auteur;;
178;Egidius van den Bempden & Aagje Hooft;Bruidspaar;1729;
179;Wor & Onder de Linden;Drukker;;Amsterdam
180;Elbert Clermont;Auteur;;
181;Adrianus Blok & Catarina Hillegonda Hennebo;Bruidspaar;1730;
182;Harder van (wed) Ditmer;Drukker;;Utrecht
183;Anna Geertruy Woordenberg;Auteur;;
184;Gerard Winter & Aletta Maria Duyvensz;Bruidspaar;1744;
185;Hendrik Callenbach;Auteur, Drukker;;Gorinchem
186;Jan Biman;Auteur;;
187;Anthony Bartelink;Auteur;;
188;Jan Biman & Margareta Puit;Bruidspaar;1741;
189;Curtius Nordingh Doitsma;Auteur;;
190;Pieter Straat;Auteur;;
191;Pieter Hoexma;Auteur;;
192;Jacobus Josias van Bredehoff & Catharina van Foreest;Bruidspaar;1709;
193;Elbert Beukelman;Drukker;;Amsterdam
194;Salomo van der Ster;Auteur;;
195;Johannes Doitsma;Auteur;;
196;Cornelis Pyper;Auteur;;
197;B. Goorn;Auteur;;
198;H.B.;Auteur;;
199;T.D.;Auteur;;
200;C.V.V.S.;Auteur;;
201;Johannes Stam & Margareta Kock;Bruidspaar;1703;
202;Warner Lulofs;Auteur;;
203;Leendert Pot;Auteur;;
204;G. Stam;Auteur;;
205;N.B.;Auteur;;
206;Jan Jacob van Westreenen & Johanna Catharina Mamuchet de Houderingen;Bruidspaar;1759;
207;Margareta Petronella Keppel;Auteur;;
208;Jan Middelman & Anna Berck;Bruidspaar;1751;
209;Hendrik Willem Dronsberg;Auteur, Drukker;;
210;Anthonia A.W.S. Berck;Auteur;;
211;Catharina Jacoba Middelman;Auteur;;
212;Abraham Middelman;Auteur;;
213;Paulus Rombertus Nauta;Auteur;;
214;Roelof Wouters;Auteur;;
215;E.S.;Auteur;;
216;L.M.Q.P.;Auteur;;
217;G.C.V.O.P.O.D.C.V.L.E.N.R.L.;Auteur;;
218;J.V.C.;Auteur;;
219;A.V.A.;Auteur;;
220;Franciscus Dankers & Cornelia Robol;Bruidspaar;1721;
221;A.S.;Auteur;;
222;Adriaen Maten & Maria van Vollenhoven;Bruidspaar;1721;
223;Balthazar Huydecoper;Auteur;;
224;Pieter Vlaming;Auteur;;
225;A.W.;Auteur;;
226;J.V.M.;Auteur;;
227;Jan Stam & Margareta Kock;Bruidspaar;1728;
228;Nicolaas (wed) Bos;Drukker;;Leiden
229;I.V.B.;Auteur;;
230;Hendrik Meysenheym & Maria van Werven;Bruidspaar;1738;
231;Hendrik Meysenheym (Jr);Auteur;;
232;Hendrik Graauwhart;Auteur;;
233;Hendrik (Jr) Graauwhart;Auteur;;
234;Maria Graauwhart;Auteur;;
235;Hendrik van Castrop;Auteur;;
236;J.V.D.H.;Auteur;;
237;Cornelis Sinkelaar & Alida Cornelia van Oosterhout;Bruidspaar;1742;
238;Nicolaas Byl;Auteur, Drukker;;Amsterdam
239;Johannes van Oosterhout;Auteur;;
240;Reinier van Oosterhout;Auteur;;
241;Dirk Berk;Auteur;;
242;Joannes Wichers;Auteur;;
243;Jan Damman & Margareta Dauw;Bruidspaar;1751;
244;Jacobus Haffman;Drukker;;Den Haag
245;Hendrik Damman;Auteur;;
246;Carel Wouter Visscher & Anna Antonia van Muyden;Bruidspaar;1759;
247;Johan Besseling;Drukker;;Leiden
248;Hermannus Gerardus Oosterdyk;Auteur;;
249;J.P. van Stuyvesant;Auteur;;
250;Carel Wouter Visscher;Auteur;;
251;Gillis Teyler & Maria van der Mersch;Bruidspaar;1692;
252;Anthony Jansen;Auteur;;
253;Elias Teyler de Vlieger;Auteur;;
254;Herman Schuurman & Petronella Rooleeuw;Bruidspaar;1693;
255;Arentsz;Drukker;;Groningen
256;Eduard Feitama;Auteur;;
257;Isaac Feitama;Auteur;;
258;Adrianus van Schuylenburg & Cornelia Soetens;Bruidspaar;1695;
259;Claes Braau;Drukker;;
260;Eduard van Zurck;Auteur;;
261;Dirk ten Kate & Johanna Kist;Bruidspaar;1696;
262;Pieter Bernagie;Auteur;;
263;Johannes (Jr) Bredenburg;Auteur;;
264;Adriaan Spinniker;Auteur;;
265;N. ten Kate;Auteur;;
266;Abraham van der Meersch & Katarina Outerloo;Bruidspaar;1696;
267;Catharina van der Meersch;Auteur;;
268;Paschyna van Mazeyk;Auteur;;
269;Martinus Crellius;Auteur;;
270;P. van der Meersch;Auteur;;
271;Herman ten Kate & Jozyna Bronkhorst;Bruidspaar;1691;
272;Gerrit Fortgens;Auteur;;
273;Dirk Bosch & Geertruid Rooleeuw;Bruidspaar;1698;
274;Jan Bruin & Hester Verhammen;Bruidspaar;1698;
275;N.D. Beths;Auteur;;
276;Gysbert Ostens & Elizabeth de Paauw;Bruidspaar;1704;
277;Jan van Damme;Auteur, Drukker;;
278;J.Cz Bremer;Auteur;;
279;Jacobus Poortugaal & Catharina Poortugaal;Bruidspaar;1705;
280;A.H.B.S.;Auteur;;
281;Johannes Sylvius & Sophia Luyken;Bruidspaar;1691;
282;Gerardus I Borstius;Drukker;;Amsterdam
283;Hendrik Sylvius;Auteur;;
284;L. Sylvius;Auteur;;
285;D. Sylvius;Auteur;;
286;J. Bloem;Auteur;;
287;Isaac Feitama & Katharina Rooleeuw;Bruidspaar;1692;
288;Antoni Kops & Maria Vermande;Bruidspaar;1692;
289;Dirk ten Kate;Auteur;;
290;Johannes Bredenburg;Auteur;;
291;A. Timmermans;Auteur;;
292;Abraham van den Ende & Hillegonda Clara Ham;Bruidspaar;1678;
293;Boom;Drukker;;Amsterdam
294;Joachim Oudaan;Auteur;;
295;Joris Holiarhoek & Catharina van Treuben;Bruidspaar;1713;
296;Van Egmont;Drukker;;
297;Hendrik Holiarhoek;Auteur;;
298;Ryk Ryke;Auteur;;
299;Nicolaas Le Seur;Auteur;;
300;J. Holiarhoek;Auteur;;
301;Pieter Franken & Geertruid Abrahams van den Bogaard;Bruidspaar;1713;
302;C. van den Bogaard;Auteur;;
303;Reinier Oortman & Cornelia Elisabet Swildens;Bruidspaar;1723;
304;Pieter I Muntendam;Drukker;;Haarlem
305;Isaak van Doorn;Auteur;;
306;Willem Smits & Anna Scheltus;Bruidspaar;1725;
307;Scheltus;Drukker;;Rotterdam
308;H. Scheltus;Auteur;;
309;Gerrit Boon & Jacoba van Ostade;Bruidspaar;1726;
310;Van Esch;Drukker;;Haarlem
311;Wernerus Köhne;Auteur;;
312;Arnoldus Henricus Westerhovius;Auteur;;
313;Jan Terwen;Auteur;;
314;W.K.;Auteur;;
315;K. Casius;Auteur;;
316;Daniel van (Jr) Beke;Auteur;;
317;Theodorus Paludanus;Auteur;;
318;P. Boon;Auteur;;
319;W.V.;Auteur;;
320;Pieter Edens & Catharina Inses;Bruidspaar;1696;
321;Adriaan van Cattenburch & Maria Cornelia Sleght;Bruidspaar;1696;
322;Johannes Molinaeus;Auteur;;
323;P. van Pelt;Auteur;;
324;Petrus Bos;Auteur;;
325;Daniel Havart;Auteur;;
326;Pieter Spranger & Alida Schippers;Bruidspaar;1705;
327;Dirk Spranger;Auteur;;
328;Jacob van Heule & Lidia Swart;Bruidspaar;1720;
329;Jan Goeree;Auteur;;
330;Aarnout Aarnoutsz Clignet & Katharina Gasparine van der Meulen;Bruidspaar;1725;
331;Philadelphus;Auteur;;
332;C.H.;Auteur;;
333;Joan Babtista van der Wiellen & Alida Clara van Gerwen;Bruidspaar;1713;
334;Johannes Schroder;Auteur;;
335;Felix de Klopper;Auteur;;
336;Dirck Gallis & Johanna Backer;Bruidspaar;1713;
337;Reinier Beukelman;Drukker;;Amsterdam
338;G.V.B.;Auteur;;
339;Abraham van Limburg & Margareta Blaaupot;Bruidspaar;1695;
340;Joan Pet & Maria Schevenhuysen;Bruidspaar;1698;
341;Pieter Baars;Drukker;;
342;A. Tegulaar;Auteur;;
343;Vroutje Pieters;Auteur;;
344;H. van der Vyver;Auteur;;
345;H.S.;Auteur;;
346;Johannes Terwen & Christina Antwerpen;Bruidspaar;1699;
347;D. Westerbaen;Auteur;;
348;Hendrik van II Damme & Anna Kassies;Bruidspaar;1725;
349;P. van Dalen;Auteur;;
350;Jan Hoogeveen (1671-1730);Auteur;;
351;B.V.A.;Auteur;;
352;Theodorus van Foreest & Eva Maria de Groot;Bruidspaar;1700;
353;Adriaan Beverwyck;Drukker;;Utrecht
354;J. van Hoolwerff;Auteur;;
355;Jacob van der Vorm;Auteur;;
356;Joannes ten Thye;Auteur;;
357;Bastiaen Molewater & Magdalena Blockhuys;Bruidspaar;1704;
358;Elias Yvans;Drukker;;Amsterdam
359;A. de Sterke;Auteur;;
360;Constantijn Huygens (1628-1697) & Susanna Ryckerts;Bruidspaar;1668;
361;Christoffel II Doll;Drukker;;Amsterdam
362;Dirk van Leyden van Leeuwen;Auteur;;
363;Arnoldus Commelin & Susanna Catharina Homoet;Bruidspaar;1719;
364;Hermanus Ackerman;Drukker;;Amsterdam
365;J. Dull;Auteur;;
366;Antoni Blok & Agneta Blok;Bruidspaar;1681;
367;Antoni van Maurik & Geertruid van Duisburg;Bruidspaar;1693;
368;Jacob van Hoek & Sara d' Vogel;Bruidspaar;1697;
369;Hendrik van I (wed) Damme;Drukker;;Amsterdam
370;P.S.;Auteur;;
371;Abraham van Aardenberg & Louisa van Wesseling;Bruidspaar;1697;
372;Johannes van Aardenberg;Drukker;;Amsterdam
373;J. de Roode;Auteur;;
374;Joannes Boelema & Geertruid van der Lip;Bruidspaar;1697;
375;Regnerus de Lover;Auteur;;
376;Arnoud van Haalen & Margareta Rooleeuw;Bruidspaar;1699;
377;Johannes Hermansz & Maria van den Burgh;Bruidspaar;1699;
378;Willem de Coup;Drukker;;
379;D.D.R.;Auteur;;
380;Andries van Damme;Drukker;;Amsterdam
381;Hendrik Hermansz;Auteur;;
382;Jacob Pietersz van Neelen & Belia Brouwer;Bruidspaar;1700;
383;Jacob Jacobsz van Neelen;Auteur;;
384;Frederik Montanus & Anna Cornelia Blom;Bruidspaar;1701;
385;Willem (wed) Clerck;Drukker;;Amsterdam
386;Joannes Ubelman;Auteur;;
387;Cornelis van Walcheren;Auteur;;
388;David Leeuw & Kornelia Hooft;Bruidspaar;1701;
389;Jan Bronkhorst & Geertruid Blaaupot;Bruidspaar;1703;
390;Daniel Willink;Auteur;;
391;Pieter Noortdyk & Kornelia de Veer;Bruidspaar;1703;
392;Ludolph Smids;Auteur;;
393;Jan de Regt;Auteur;;
394;Dirk Smout;Auteur;;
395;Herman ten Kate & Geertruid van Gelein;Bruidspaar;1704;
396;Cornelis van Eeke;Auteur;;
397;Ewoud van der Dussen & Catharina Maria Vallensis;Bruidspaar;1704;
398;Paulus Bosveld;Auteur;;
399;C. Breydel;Auteur;;
400;A.R.;Auteur;;
401;Jan de Heger & Margrieta van Leuve;Bruidspaar;1706;
402;D.J.H.;Auteur;;
403;F.V.A.Jz;Auteur;;
404;Gerard de Beveren & Anna Eling;Bruidspaar;1687;
405;Mattheus van Nispen;Drukker;;Zwolle
406;Pieter Carstenson & Margareta de Lover;Bruidspaar;1707;
407;Jacob Brouwer;Drukker;;Amsterdam
408;Salomon Verschuilenburch & Geertruida van Duren;Bruidspaar;1707;
409;Evert Cramer;Drukker;;Enkhuizen
410;A.W. van Limburch;Auteur;;
411;T.V.V.;Auteur;;
412;Hendrik Hobrink & Maria Bruyn;Bruidspaar;1707;
413;Carel Allard;Drukker;;Rotterdam
414;L. Hobrink;Auteur;;
415;Abraham Allard;Auteur;;
416;Kornelis Willemsz. Westerbaen;Auteur;;
417;J.V.;Auteur;;
418;M.B.;Auteur;;
419;Alexander van Leuvenig & Anna Schorn;Bruidspaar;1708;
420;Lambert Bertus;Drukker;;Amsterdam
421;J. Helgers;Auteur;;
422;Bartholomeus van Leuvenig;Auteur;;
423;I.D.B.;Auteur;;
424;Joan van der Helst & Petronella Hobbe;Bruidspaar;1696;
425;R. Stapel;Auteur;;
426;Jacob Trist & Anna van den Bogaard;Bruidspaar;1678;
427;Cornelis Dijvoort;Drukker;;Den Haag
428;Jacobus Kuyleman;Auteur;;
429;Gillis de Koker & Hester Liemans;Bruidspaar;1680;
430;Aris Akersloot;Drukker;;Amsterdam
431;Pieter Willemsz Roosekrans & Elisabeth Brouwers;Bruidspaar;1663;
432;Abraham Jacobsz van der Beeck;Drukker;;Amsterdam
433;Johan Beets;Auteur;;
434;Marten Fesma & Margareta van Leeuwaarden;Bruidspaar;1684;
435;Marcus Willemsz Doornick;Drukker;;Amsterdam
436;Benjamin Perne & Hermina van de Wall;Bruidspaar;1687;
437;Adrianus Bartius;Drukker;;Amsterdam
438;vallo proxima Vallis;Auteur;;
439;Jan Thomasz d' Vogel & Catharina d' Vogel;Bruidspaar;1690;
440;Hendrik van I Damme;Drukker;;
441;Wilhelmus Trezenier & Anna van Rozebeeck;Bruidspaar;1665;
442;Thomas Berry;Drukker;;
443;Abraham Veesaert;Auteur;;
444;D.E.;Auteur;;
445;Louwerens Verstraaten & Elisabet Havius;Bruidspaar;1698;
446;Casparus Lootsman;Drukker;;Alphen
447;M. Domp;Auteur;;
448;Hendrik van Rozeveld & Hermina den Ruuk;Bruidspaar;1698;
449;Hermannus Goddaeus;Drukker;;Altona
450;Johan van Dueren;Auteur;;
451;Johannes de Lover & Gertrudis Kok;Bruidspaar;1704;
452;Dirck Bruininck & Catharina Inses;Bruidspaar;1705;
453;Hermanus Herts;Drukker;;Amsterdam
454;J.B.;Auteur;;
455;Jan Vriesenburgh & Aaltje Klaesz van der Veen;Bruidspaar;1665;
456;Jan I Rieuwertsz;Drukker;;Amsterdam
457;D. de Neufville;Auteur;;
458;Geeraerd Claesz Blaaupot & Elisabet Wachtendonk;Bruidspaar;1666;
459;Herman Aeltsz;Drukker;;Amsterdam
460;Jan Vriesenburgh;Auteur;;
461;Gerard Reessen & Maria Nering;Bruidspaar;1670;
462;Jan Copyn;Auteur;;
463;Petrus Bos & Katharina Beyerman;Bruidspaar;1691;
464;Caspar Brandt;Auteur;;
465;Adriaan van Cattenburch;Auteur;;
466;C.Jz de With;Auteur;;
467;Georgius Sonhoven;Auteur;;
468;Cornelis van der Zee;Auteur;;
469;Jan de Kaarsgieter & Elisabeth Hosee;Bruidspaar;1696;
470;François de Kaarsgieter;Auteur;;
471;Z. Hosee;Auteur;;
472;Johannes Visscher & Kunira van Hoek;Bruidspaar;1699;
473;Pierre Marin;Auteur;;
474;Bartholomeus Matthon & Adriana Ras;Bruidspaar;1719;
475;Adriaan de Jonge;Auteur;;
476;Jan van Zutphen & Cornelia Waterman;Bruidspaar;1723;
477;Pieter van den II Berge;Auteur, Drukker;;Amsterdam
478;Maria de Wilde;Auteur;;
479;Jacobus van der Strengh;Auteur;;
480;Eduard Sennepart;Auteur;;
481;D.V.V.;Auteur;;
482;Govert Klinkhamer;Auteur;;
483;Josua Eversdyk;Auteur;;
484;Cornelis van Teylingen & Johanna Jacoba Dyklander;Bruidspaar;1723;
485;Niklaas Dor;Auteur, Drukker;;Amsterdam
486;Cornelis de Graet & Catharina Guldewagen;Bruidspaar;1675;
487;J. Vlakveld;Auteur;;
488;Jan Haring & Sara Vermeersch;Bruidspaar;1686;
489;Gerard Pollius & Kornelia Kleur;Bruidspaar;1688;
490;Joannes Boucart;Drukker;;Amsterdam
491;I. Pollius;Auteur;;
492;I. Houtman;Auteur;;
493;Adr Boucart;Auteur;;
494;Joannes de Canjoncle;Auteur;;
495;Cornelius van Weede & Katarina Longespee;Bruidspaar;1688;
496;Johannes Dale;Drukker;;Delft
497;Huibert van Speek & Elizabet Vollenhove;Bruidspaar;1692;
498;J. Carel;Auteur;;
499;A.V.H.;Auteur;;
500;Isbrandus Fabricius & Petronella van der Wier;Bruidspaar;1695;
501;Daniel Oostendorp;Drukker;;Wassenaar
502;Jan Norel;Auteur;;
503;Hendrik Boel & Cornelia de Geus;Bruidspaar;1696;
504;Tobias Boel;Auteur;;
505;J.S.;Auteur;;
506;Theodorus Bruynenburg & Anna Maria van Hanenburg;Bruidspaar;1700;
507;Willem Doornick;Drukker;;Amsterdam
508;L. Kramp;Auteur;;
509;J. Noelmans;Auteur;;
510;H. Pelkoor;Auteur;;
511;J. Deutz;Auteur;;
512;Jan Wenkink;Auteur;;
513;Frans Ryk;Auteur;;
514;Jan van Kesteren & Lucresia Rosdorp;Bruidspaar;1720;
515;Anthony van der Voort;Auteur;;
516;Arnoldus Noordbeek;Auteur;;
517;Petrus van Heimenberg & Margareta Brandenburg;Bruidspaar;1721;
518;Casparus (wed) Cotius;Drukker;;
519;Casparus Henricus van Heimenberg;Auteur;;
520;Jacob Kuyper & Hester Roelina Nieuwenhuis;Bruidspaar;1727;
521;W. de Koker;Auteur;;
522;G. ten Naarden;Auteur;;
523;Josias Ingelbrechts & Maria Reyniers;Bruidspaar;1681;
524;Bernard Vollenhove;Auteur;;
525;Joan Marissal & Anna Herseleyn;Bruidspaar;1682;
526;Jan de Wys & Catharina van Os;Bruidspaar;1683;
527;Sybrand Feitama;Auteur;;
528;Pieter Mes & Maria Ophoven;Bruidspaar;1721;
529;Pieter Buyster;Drukker;;
530;Wilhelmus van Ysselstein;Auteur;;
531;Roelof Robyn & Maria van der Linden;Bruidspaar;1722;
532;Swerus Robyn;Auteur;;
533;Harmanus Meyer;Auteur;;
534;Ph Swaan;Auteur;;
535;Nicolaas Fremyn & Angenieta Dykman;Bruidspaar;1724;
536;Nicolaas Davidsz Vermey;Auteur;;
537;Hendrik Dykman;Auteur;;
538;Louis Vermey;Auteur;;
539;Magnus Dykman;Auteur;;
540;Pieter Cleevering van Vyve & Margareta de Mourheron;Bruidspaar;1724;
541;N. Cleevering van Vyve;Auteur;;
542;B. van Vyve;Auteur;;
543;Jan Mol;Auteur, Drukker;;
544;Wilhem van Maurik & Eva van Gelder;Bruidspaar;1710;
545;Christiaan Tirion;Auteur;;
546;Egidius van der Hoop & Hester de Min;Bruidspaar;1728;
547;A. Wildeman;Auteur;;
548;D.A.A.G.;Auteur;;
549;Herman Willem Roelink & Anna Maria Eekhout;Bruidspaar;1716;
550;Goverd van Veldhuysen & Jacomina Christiaansen;Bruidspaar;1715;
551;Cornelis (wed en zoon) Boutesteyn;Drukker;;
552;Nicolaas van Poelgeest;Auteur;;
553;Hermanus van den Burg;Auteur;;
554;N.V.O.;Auteur;;
555;Floris Schouten;Auteur, Drukker;;
556;Pieter Cornelisz Hooft & Eleonora Hellemans;Bruidspaar;1627;
557;Blaeu;Drukker;;Amsterdam
558;Joost van den Vondel;Auteur;;
559;Jeronimo de Bosch & Judith Willink;Bruidspaar;1731;
560;Willem van Egmont;Drukker;;Amsterdam
561;Pieternel;Auteur;;
562;Jan Izaaksz van den Bogaerd & Magdalena Maria van den Bogaerd;Bruidspaar;1729;
563;Verbeek;Drukker;;Amsterdam
564;Cornelis Izaaksz van den Bogaerd;Auteur;;
565;Hieronimus Slicher & Catharina Cornelia Temminck;Bruidspaar;1726;
566;Egbert de Vry Temminck;Auteur;;
567;Jan Gijsbert de Mey & Kataryne van Gerwen;Bruidspaar;1723;
568;Boudewijn Janssoon van der II Aa;Drukker;;Hoorn
569;Laurens Steversloot;Auteur;;
570;Joan Doornik;Auteur;;
571;H.T.;Auteur;;
572;Nicolaus Spranger & Maria van den Honert;Bruidspaar;1728;
573;Franciscus Burman;Auteur;;
574;Theodorus Haganaeus;Auteur;;
575;Petrus Burman;Auteur;;
576;Jan van der Voort;Auteur;;
577;Adrianus Wolff;Auteur;;
578;N. Bak;Auteur;;
579;Philippus Westerbaen & Welhelma Lookermans;Bruidspaar;1724;
580;Johan van Doesburg;Auteur, Drukker;;Leiden
581;Arent Bosch & Eletta Thesingh;Bruidspaar;1718;
